symbol,trade_id,price,quantity,buyer_order_id,seller_order_id,is_buyer_market_maker,knowledge,decision,decision_norm,entropy,delta_t,cosine_similarity,delta_h_over_delta_d,frobenius_norm,timestamp
XRPUSDT,1603474644.0,1.3396,6.1,,,False,0.0024835707650561634,0.500620892372119,0.500620892372119,,1.0,1.0,,0.004967141530112327,2026-04-06 19:58:55.830000
XRPUSDT,1603474645.0,1.3396,7.5,,,False,0.0070245989181115,0.5012417828293724,0.708862927305368,-7.786333319074747e-06,0.758,1.0,,0.009934283060224654,2026-04-06 19:58:56.588000
XRPUSDT,1603474646.0,1.3396,4.2,,,False,0.012905012247809947,0.5018626694569183,0.8692516419215278,-2.1134170346825267e-05,0.758,1.0000000000000002,-0.021498026266903208,0.014901424680867779,2026-04-06 19:58:56.588000
XRPUSDT,1603474647.0,1.3396,4.0,,,False,0.019868566188347404,0.5024835503399621,1.004967100696898,-4.115557218340317e-05,0.758,1.0000000000000002,-0.032246768073169445,0.019868566417501725,2026-04-06 19:58:56.588000
XRPUSDT,1603474648.0,1.3396,4.0,,,False,0.027767165553675466,0.5031044235637796,1.1249756909358786,-6.785013819688629e-05,0.758,0.9999999999999999,-0.04299519610355743,0.024835708322743368,2026-04-06 19:58:56.588000
XRPUSDT,1603474649.0,1.3396,4.0,,,False,0.03650088737293006,0.5037252872137418,1.233869924382072,-0.00010121734487784632,0.758,0.9999999999999997,-0.0537432118678446,0.029802850448074382,2026-04-06 19:58:56.588000
XRPUSDT,1603474650.0,1.3396,4.0,,,False,0.04599637569148022,0.5043461393753373,1.3343744598419105,-0.00014125654568844352,0.758,0.9999999999999998,-0.06449071661069425,0.034769992844648524,2026-04-06 19:58:56.588000
XRPUSDT,1603474651.0,1.3396,4.0,,,False,0.05619679398541178,0.5049669781341966,1.4282622987159428,-0.00018796697111294215,0.758,0.9999999999999993,-0.07523761163096346,0.039737135563492655,2026-04-06 19:58:56.588000
XRPUSDT,1603474652.0,1.3396,4.0,,,False,0.06705641508664174,0.5055878015761154,1.516763405835739,-0.00024134772868157373,0.758,0.9999999999999993,-0.0859837982335904,0.04470427865557305,2026-04-06 19:58:56.588000
XRPUSDT,1603474653.0,1.3396,3.8,,,False,0.07853741042869762,0.5062086077870784,1.6007721735274605,-0.0003013978029981544,0.758,0.9999999999999987,-0.09672917773072093,0.0496714221718213,2026-04-06 19:58:56.588000
XRPUSDT,1603474654.0,1.3396,4.0,,,False,0.09060780640582602,0.5068293948532829,1.6809629380402327,-0.00036811605577145536,0.758,0.9999999999999977,-0.1074736514425428,0.05463856616314554,2026-04-06 19:58:56.588000
XRPUSDT,1603474655.0,1.3396,4.0,,,False,0.1032401127988763,0.5074501608611622,1.757858925544342,-0.00044150122585032966,0.758,0.9999999999999967,-0.11821712069830785,0.059605710680435485,2026-04-06 19:58:56.588000
XRPUSDT,1603474656.0,1.3396,3.8,,,False,0.11641036311569365,0.5080709038974094,1.831875700697161,-0.000521551929262584,0.758,0.9999999999999954,-0.12895948683729064,0.06457285577456474,2026-04-06 19:58:56.588000
XRPUSDT,1603474657.0,1.3397,3.8,,,False,0.13939009107182077,0.5093123134032194,1.9056721865157118,-0.0010596930192184283,7.056,0.9999999999999946,-0.43349200037317753,0.06954004956427544,2026-04-06 19:59:03.644000
XRPUSDT,1603474658.0,1.3397,7.5,,,False,0.15390137455562972,0.5099329760476791,1.9749619546926398,-0.0007672172751325743,7.056,0.9999999999999496,0.4712314277274725,0.0745072528935332,2026-04-06 19:59:03.644000
XRPUSDT,1603474659.0,1.3397,4.2,,,False,0.16888306395751068,0.5105536080703473,2.042214495236745,-0.0008716946934921065,7.056,0.9999999999998239,-0.16834036038030287,0.07947446211814042,2026-04-06 19:59:03.644000
XRPUSDT,1603474660.0,1.3397,2.6,,,False,0.18432084338434504,0.5111742075595694,2.1076253509869427,-0.0009828289011066002,7.056,0.9999999999996106,-0.17907557054839884,0.08444167794293743,2026-04-06 19:59:03.644000
XRPUSDT,1603474661.0,1.3397,1.4,,,False,0.20020164085075193,0.5117947726040915,2.1713614685466576,-0.0011006186302841361,2.174,0.9999999999993038,-0.18981044810260392,0.08940883414592417,2026-04-06 19:59:05.818000
XRPUSDT,1603474662.0,1.3397,4.0,,,False,0.2165133010214001,0.5124153012930842,2.2335666706999704,-0.0012250503484655944,2.174,0.9999999999991404,-0.20052532685222857,0.09437599387344008,2026-04-06 19:59:05.818000
XRPUSDT,1603474663.0,1.3397,4.0,,,False,0.2332448684478422,0.5130357917161668,2.294365980227121,-0.0013561412842052634,2.174,0.9999999999989992,-0.2112698776049124,0.09934315714105946,2026-04-06 19:59:05.818000
