"symbol","trade_id","price","quantity","buyer_order_id","seller_order_id","is_buyer_market_maker","timestamp"
"XRPUSDT",1.273371552E9,3.1356,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371553E9,3.1356,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371554E9,3.1356,3.4,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371555E9,3.1356,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371556E9,3.1356,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371557E9,3.1356,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371558E9,3.1356,1.6,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371559E9,3.1356,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.27337156E9,3.1357,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371561E9,3.1357,1.6,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371562E9,3.1357,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371563E9,3.1357,3.3,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371564E9,3.1357,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371565E9,3.1357,1.7,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371566E9,3.1357,11.6,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371567E9,3.1357,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371568E9,3.1357,3.4,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.273371569E9,3.1357,2.0,,,false,"2025-07-30T16:51:42.218000Z"
"XRPUSDT",1.27337157E9,3.1358,288.0,,,false,"2025-07-30T16:51:42.228000Z"
"XRPUSDT",1.273371571E9,3.1357,344.0,,,true,"2025-07-30T16:51:43.024000Z"
"XRPUSDT",1.273371572E9,3.1357,133.4,,,true,"2025-07-30T16:51:43.024000Z"
"XRPUSDT",1.273371573E9,3.1357,350.0,,,true,"2025-07-30T16:51:43.760000Z"
"XRPUSDT",1.273371574E9,3.1357,16.0,,,true,"2025-07-30T16:51:44.318000Z"
"XRPUSDT",1.273371575E9,3.1358,21.0,,,false,"2025-07-30T16:51:44.670000Z"
"XRPUSDT",1.273371576E9,3.1357,200.3,,,true,"2025-07-30T16:51:44.916000Z"
"XRPUSDT",1.273371577E9,3.1358,1.6,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371578E9,3.1358,3.3,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371579E9,3.1358,1.7,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.27337158E9,3.1358,2.0,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371581E9,3.1358,2.0,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371582E9,3.1358,2.0,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371583E9,3.1358,2.0,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371584E9,3.1358,17.3,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371585E9,3.1358,63.8,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371586E9,3.1358,63.8,,,false,"2025-07-30T16:51:45.831000Z"
"XRPUSDT",1.273371587E9,3.1358,25.5,,,false,"2025-07-30T16:51:45.832000Z"
"XRPUSDT",1.273371588E9,3.1358,25.5,,,false,"2025-07-30T16:51:45.832000Z"
