side,entry,exit,pnl,pnl_pct,entry_transition,close_reason
SHORT,3.1813,3.1814,-0.00010000000000021103,-0.003143369062968316,neutral→bear,neutral→bull
LONG,3.1814,3.1824,0.0009999999999998899,0.03143270258376469,neutral→bull,neutral→bear
SHORT,3.1824,3.1813,0.001100000000000101,0.03456510809452303,neutral→bear,neutral→bull
LONG,3.1813,3.1823,0.001000000000000334,0.03143369062962732,neutral→bull,neutral→bear
SHORT,3.1823,3.1818,0.000500000000000167,0.01571190648273786,neutral→bear,neutral→bull
LONG,3.1818,3.1817,-9.999999999976694e-05,-0.0031428751021361162,neutral→bull,neutral→bear
SHORT,3.1817,3.1812,0.000500000000000167,0.015714869409440457,neutral→bear,neutral→bull
LONG,3.1812,3.1816,0.00039999999999995595,0.012573871495031934,neutral→bull,neutral→bear
SHORT,3.1816,3.1817,-0.00010000000000021103,-0.003143072667846713,neutral→bear,bull→neutral
LONG,3.1818,3.1819,0.00010000000000021103,0.003142875102150073,neutral→bull,bear→neutral
SHORT,3.1818,3.1807,0.001100000000000101,0.03457162612358102,neutral→bear,neutral→bull
LONG,3.1807,3.1817,0.001000000000000334,0.031439620209398375,neutral→bull,neutral→bear
SHORT,3.1817,3.1818,-9.999999999976694e-05,-0.0031429738818797162,neutral→bear,neutral→bull
LONG,3.1818,3.1817,-9.999999999976694e-05,-0.0031428751021361162,neutral→bull,neutral→bear
SHORT,3.1817,3.1818,-9.999999999976694e-05,-0.0031429738818797162,neutral→bear,bull→neutral
SHORT,3.1817,3.1818,-9.999999999976694e-05,-0.0031429738818797162,neutral→bear,bull→neutral
LONG,3.1819,3.1818,-0.00010000000000021103,-0.0031427763286153254,neutral→bull,neutral→bear
SHORT,3.1818,3.1814,0.00039999999999995595,0.01257150040857238,neutral→bear,neutral→bull
LONG,3.1814,3.1813,-0.00010000000000021103,-0.003143270258383449,neutral→bull,bear→neutral
SHORT,3.1812,3.1812,0.0,0.0,neutral→bear,neutral→bull
LONG,3.1812,3.1811,-0.00010000000000021103,-0.003143467873764964,neutral→bull,bear→neutral
LONG,3.1812,3.1811,-0.00010000000000021103,-0.003143467873764964,neutral→bull,neutral→bear
SHORT,3.1811,3.1806,0.0004999999999997229,0.015717833453828014,neutral→bear,neutral→bull
LONG,3.1806,3.1809,0.0002999999999997449,0.009432182607047252,neutral→bull,neutral→bear
SHORT,3.1809,3.181,-0.00010000000000021103,-0.0031437643434314515,neutral→bear,bull→neutral
SHORT,3.1809,3.1803,0.0005999999999999339,0.018862586060546825,neutral→bear,neutral→bull
LONG,3.1803,3.1802,-9.999999999976694e-05,-0.003144357450547651,neutral→bull,neutral→bear
SHORT,3.1802,3.1803,-9.999999999976694e-05,-0.0031444563234943376,neutral→bear,neutral→bull
LONG,3.1803,3.1805,0.00019999999999997797,0.006288714901109266,neutral→bull,neutral→bear
SHORT,3.1805,3.1797,0.0007999999999999119,0.025153277786508783,neutral→bear,neutral→bull
LONG,3.1797,3.1796,-9.999999999976694e-05,-0.0031449507815129395,neutral→bull,bear→neutral
LONG,3.1797,3.1796,-9.999999999976694e-05,-0.0031449507815129395,neutral→bull,neutral→bear
SHORT,3.1796,3.1797,-9.999999999976694e-05,-0.0031450496917778,neutral→bear,neutral→bull
LONG,3.1797,3.1796,-9.999999999976694e-05,-0.0031449507815129395,neutral→bull,bear→neutral
SHORT,3.1795,3.1792,0.000300000000000189,0.009435445824821167,neutral→bear,neutral→bull
LONG,3.1792,3.1792,0.0,0.0,neutral→bull,force
