file,version,trades,winners,losers,flat,force_closes,win_rate,spot_pnl_pips,synth_pnl_pips,total_pips,avg_pips,available_pips,capture_rate_pct
binance_trades_20260406_193629.csv,v4,32,16,11,5,1,50.0,22.0,22.0,44.0,1.38,403.0,10.92
binance_trades_20260406_195847.csv,v4,28,21,4,3,1,75.0,33.0,38.0,71.0,2.54,367.0,19.35
binance_trades_20260406_200935.csv,v4,20,12,5,3,1,60.0,46.0,30.0,76.0,3.8,299.0,25.42
binance_trades_20260406_202715.csv,v4,36,14,12,10,1,38.9,14.0,3.0,17.0,0.47,326.0,5.21
binance_trades_20260406_205733.csv,v4,32,12,9,11,1,37.5,1.0,10.0,11.0,0.34,517.0,2.13
binance_trades_20260406_212216.csv,v4,24,10,9,5,1,41.7,0.0,23.0,23.0,0.96,390.0,5.9
binance_trades_20260406_214153.csv,v4,26,15,9,2,1,57.7,19.0,34.0,53.0,2.04,399.0,13.28
binance_trades_20260406_215533.csv,v4,28,16,6,6,1,57.1,17.0,30.0,47.0,1.68,340.0,13.82
binance_trades_20260406_220521.csv,v4,29,11,13,5,1,37.9,5.0,19.0,24.0,0.83,285.0,8.42
binance_trades_20260406_222410.csv,v4,40,16,18,6,1,40.0,2.0,16.0,18.0,0.45,345.0,5.22
binance_trades_20260406_224259.csv,v4,24,8,13,3,1,33.3,-27.0,6.0,-21.0,-0.88,375.0,-5.6
binance_trades_20260406_230327.csv,v4,5,1,3,1,1,20.0,-52.0,1.0,-51.0,-10.2,283.0,-18.02
binance_trades_20260406_230914.csv,v4,11,7,4,0,1,63.6,-3.0,36.0,33.0,3.0,228.0,14.47
binance_trades_20260406_231623.csv,v4,30,13,12,5,1,43.3,22.0,32.0,54.0,1.8,254.0,21.26
binance_trades_20260406_232358.csv,v4,30,14,8,8,1,46.7,48.0,25.0,73.0,2.43,271.0,26.94
binance_trades_20260406_233613.csv,v4,23,12,8,3,1,52.2,33.0,22.0,55.0,2.39,318.0,17.3
binance_trades_20260406_234525.csv,v4,20,12,4,4,1,60.0,62.0,26.0,88.0,4.4,265.0,33.21
binance_trades_20260406_235845.csv,v4,25,20,4,1,1,80.0,34.0,34.0,68.0,2.72,279.0,24.37
