side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3425,1.3421,-0.00039999999999995595,-4.0,-0.029795158286775116,neutral→bull,12,2,1,bear→neutral
SHORT,1.342,1.342,0.0,0.0,0.0,neutral→bear,12,1,2,bull→neutral
LONG,1.3421,1.3422,9.999999999998899e-05,1.0,0.007451009611801579,neutral→bull,12,5,2,bear→neutral
SHORT,1.3421,1.3415,0.000600000000000156,6.0,0.04470605767082601,neutral→bear,5,5,6,bull→neutral
LONG,1.3411,1.3417,0.0005999999999999339,6.0,0.044739393035562895,neutral→bull,11,16,5,bear→neutral
LONG,1.341,1.3408,-0.00019999999999997797,-2.0,-0.014914243102160923,neutral→bull,15,12,5,bear→neutral
SHORT,1.3406,1.3408,-0.00019999999999997797,-2.0,-0.014918693122480828,neutral→bear,6,2,1,bull→neutral
LONG,1.3404,1.3391,-0.0013000000000000789,-13.0,-0.09698597433602497,neutral→bull,226,10,2,bear→neutral
LONG,1.3392,1.3394,0.00019999999999997797,2.0,0.014934289127835872,neutral→bull,18,4,1,bear→neutral
LONG,1.3396,1.3398,0.00020000000000020002,2.0,0.014929829799955214,neutral→bull,16,6,1,bear→neutral
SHORT,1.3397,1.3393,0.00039999999999995595,4.0,0.02985743076807912,neutral→bear,16,3,3,bull→neutral
LONG,1.3394,1.3397,0.00029999999999996696,3.0,0.022398088696428772,neutral→bull,15,6,2,bear→neutral
LONG,1.3398,1.3397,-0.00010000000000021103,-1.0,-0.007463800567264593,neutral→bull,12,3,2,bear→neutral
SHORT,1.3396,1.3395,9.999999999998899e-05,1.0,0.007464914899969318,neutral→bear,37,1,2,bull→neutral
SHORT,1.3391,1.337,0.0020999999999999908,21.0,0.15682174594877088,neutral→bear,246,4,3,bull→neutral
LONG,1.3371,1.3373,0.00019999999999997797,2.0,0.014957744372147034,neutral→bull,15,6,0,force
