side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3285,1.3281,-0.00039999999999995595,-4.0,-0.03010914565298878,neutral→bull,3,5,9,bear→neutral
SHORT,1.328,1.3262,0.0018000000000000238,18.0,0.13554216867470056,neutral→bear,183,6,6,bull→neutral
LONG,1.3262,1.3282,0.0020000000000000018,20.0,0.15080681646810448,neutral→bull,9,26,6,bear→neutral
SHORT,1.3281,1.3281,0.0,0.0,0.0,neutral→bear,23,2,2,bull→neutral
LONG,1.3281,1.3278,-0.00029999999999996696,-3.0,-0.02258866049243031,neutral→bull,15,1,2,bear→neutral
LONG,1.3279,1.3279,0.0,0.0,0.0,neutral→bull,14,4,1,bear→neutral
LONG,1.328,1.328,0.0,0.0,0.0,neutral→bull,12,2,1,bear→neutral
LONG,1.3281,1.3282,9.999999999998899e-05,1.0,0.0075295534974767694,neutral→bull,5,9,3,bear→neutral
SHORT,1.3281,1.3276,0.000500000000000167,5.0,0.03764776748740057,neutral→bear,13,5,8,bull→neutral
SHORT,1.3275,1.3278,-0.000300000000000189,-3.0,-0.022598870056511414,neutral→bear,6,3,2,bull→neutral
LONG,1.3279,1.3279,0.0,0.0,0.0,neutral→bull,23,2,1,bear→neutral
SHORT,1.3278,1.3266,0.0012000000000000899,12.0,0.09037505648441706,neutral→bear,36,2,14,bull→neutral
LONG,1.3267,1.3268,9.999999999998899e-05,1.0,0.007537499057811788,neutral→bull,7,4,1,bear→neutral
SHORT,1.3267,1.3263,0.00039999999999995595,4.0,0.03014999623124715,neutral→bear,8,3,7,bull→neutral
LONG,1.3264,1.3262,-0.00019999999999997797,-2.0,-0.015078407720143093,neutral→bull,10,1,2,bear→neutral
SHORT,1.3261,1.3258,0.00029999999999996696,3.0,0.022622728301030612,neutral→bear,29,4,1,bull→neutral
LONG,1.3259,1.3259,0.0,0.0,0.0,neutral→bull,14,4,1,bear→neutral
LONG,1.3258,1.3262,0.00039999999999995595,4.0,0.030170463116605515,neutral→bull,6,7,3,bear→neutral
LONG,1.3263,1.3259,-0.00039999999999995595,-4.0,-0.03015908919550297,neutral→bull,7,4,4,bear→neutral
LONG,1.326,1.3262,0.00019999999999997797,2.0,0.015082956259425186,neutral→bull,16,4,1,bear→neutral
SHORT,1.3261,1.3262,-9.999999999998899e-05,-1.0,-0.0075409094336768715,neutral→bear,10,2,3,bull→neutral
SHORT,1.326,1.3253,0.000700000000000145,7.0,0.052790346908004895,neutral→bear,24,4,8,bull→neutral
LONG,1.3254,1.3259,0.000500000000000167,5.0,0.03772446054022687,neutral→bull,10,6,1,force
