side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3504,1.3508,0.00039999999999995595,4.0,0.02962085308056546,neutral→bull,46,15,2,bear→neutral
LONG,1.3509,1.3509,0.0,0.0,0.0,neutral→bull,32,2,1,bear→neutral
LONG,1.3511,1.3509,-0.00019999999999997797,-2.0,-0.014802753312114425,neutral→bull,3,2,1,bear→neutral
SHORT,1.3508,1.3509,-9.999999999998899e-05,-1.0,-0.0074030204323355785,neutral→bear,10,4,4,bull→neutral
SHORT,1.3508,1.3508,0.0,0.0,0.0,neutral→bear,13,3,4,bull→neutral
SHORT,1.3507,1.3509,-0.00019999999999997797,-2.0,-0.014807137040051674,neutral→bear,32,2,1,bull→neutral
LONG,1.351,1.3513,0.00029999999999996696,3.0,0.022205773501107844,neutral→bull,5,5,2,bear→neutral
LONG,1.3514,1.3513,-9.999999999998899e-05,-1.0,-0.00739973360958924,neutral→bull,27,3,3,bear→neutral
SHORT,1.3512,1.3504,0.0007999999999999119,8.0,0.05920663114268146,neutral→bear,6,3,11,bull→neutral
LONG,1.3505,1.35,-0.0004999999999999449,-5.0,-0.03702332469455349,neutral→bull,16,3,4,bear→neutral
SHORT,1.3499,1.3498,9.999999999998899e-05,1.0,0.007407956144898806,neutral→bear,5,1,4,bull→neutral
LONG,1.3499,1.3498,-9.999999999998899e-05,-1.0,-0.007407956144898806,neutral→bull,19,2,1,bear→neutral
SHORT,1.3497,1.3497,0.0,0.0,0.0,neutral→bear,7,2,3,bull→neutral
LONG,1.3498,1.3498,0.0,0.0,0.0,neutral→bull,9,2,1,bear→neutral
LONG,1.35,1.3501,9.999999999998899e-05,1.0,0.0074074074074065915,neutral→bull,10,3,2,bear→neutral
SHORT,1.35,1.3498,0.00019999999999997797,2.0,0.014814814814813183,neutral→bear,17,1,4,bull→neutral
SHORT,1.3496,1.3499,-0.000300000000000189,-3.0,-0.02222880853587648,neutral→bear,5,3,1,bull→neutral
LONG,1.3499,1.3498,-9.999999999998899e-05,-1.0,-0.007407956144898806,neutral→bull,3,3,2,bear→neutral
LONG,1.3499,1.3503,0.00039999999999995595,4.0,0.029631824579595224,neutral→bull,5,7,2,bear→neutral
SHORT,1.3502,1.3499,0.00029999999999996696,3.0,0.022218930528808096,neutral→bear,6,5,7,bull→neutral
LONG,1.35,1.35,0.0,0.0,0.0,neutral→bull,10,2,1,bear→neutral
LONG,1.3501,1.3499,-0.00019999999999997797,-2.0,-0.014813717502405597,neutral→bull,13,4,6,bear→neutral
SHORT,1.3499,1.35,-9.999999999998899e-05,-1.0,-0.007407956144898806,neutral→bear,16,4,4,bull→neutral
LONG,1.3501,1.3503,0.00019999999999997797,2.0,0.014813717502405597,neutral→bull,9,4,3,bear→neutral
LONG,1.3504,1.3512,0.0007999999999999119,8.0,0.05924170616113092,neutral→bull,5,12,5,bear→neutral
SHORT,1.3511,1.3505,0.0005999999999999339,6.0,0.044408259936343265,neutral→bear,14,3,8,bull→neutral
LONG,1.3506,1.3514,0.0007999999999999119,8.0,0.05923293351102561,neutral→bull,6,11,2,bear→neutral
LONG,1.3516,1.3518,0.00019999999999997797,2.0,0.014797277300974992,neutral→bull,33,5,6,bear→neutral
LONG,1.3519,1.3516,-0.000300000000000189,-3.0,-0.022190990457888082,neutral→bull,25,1,2,bear→neutral
LONG,1.3517,1.3513,-0.00039999999999995595,-4.0,-0.02959236516978294,neutral→bull,11,2,3,bear→neutral
SHORT,1.3512,1.3509,0.00029999999999996696,3.0,0.022202486678505547,neutral→bear,7,8,10,bull→neutral
LONG,1.351,1.3509,-9.999999999998899e-05,-1.0,-0.007401924500369281,neutral→bull,0,1,1,force
