side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.334,1.3336,-0.000400000000000178,-4.0,-0.029985007496265214,neutral→bull,13,6,1,bear→neutral
SHORT,1.3335,1.3329,0.0005999999999999339,6.0,0.04499437570303217,neutral→bear,14,4,5,bull→neutral
LONG,1.3329,1.3318,-0.0010999999999998789,-11.0,-0.08252682121688641,neutral→bull,4,54,8,bear→neutral
LONG,1.3319,1.3317,-0.00019999999999997797,-2.0,-0.015016142353027853,neutral→bull,46,4,1,bear→neutral
LONG,1.3318,1.3318,0.0,0.0,0.0,neutral→bull,7,3,3,bear→neutral
LONG,1.3319,1.3323,0.00039999999999995595,4.0,0.030032284706055706,neutral→bull,8,10,4,bear→neutral
LONG,1.3324,1.3321,-0.00029999999999996696,-3.0,-0.022515761032720426,neutral→bull,4,4,2,bear→neutral
LONG,1.3322,1.3322,0.0,0.0,0.0,neutral→bull,124,10,2,bear→neutral
SHORT,1.3322,1.3322,0.0,0.0,0.0,neutral→bear,11,5,5,bull→neutral
LONG,1.3323,1.3323,0.0,0.0,0.0,neutral→bull,18,2,1,bear→neutral
SHORT,1.3322,1.332,0.00019999999999997797,2.0,0.015012760846718057,neutral→bear,19,3,4,bull→neutral
LONG,1.3321,1.3322,9.999999999998899e-05,1.0,0.007506943923128067,neutral→bull,6,3,2,bear→neutral
LONG,1.3323,1.3325,0.00019999999999997797,2.0,0.015011634016361028,neutral→bull,22,4,1,bear→neutral
LONG,1.3326,1.3329,0.00029999999999996696,3.0,0.02251238180999302,neutral→bull,8,12,8,bear→neutral
SHORT,1.3328,1.3326,0.00019999999999997797,2.0,0.015006002400958732,neutral→bear,6,2,3,force
