side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3369,1.3369,0.0,0.0,0.0,neutral→bull,7,8,1,bear→neutral
LONG,1.337,1.3373,0.00029999999999996696,3.0,0.02243829468960112,neutral→bull,15,6,1,bear→neutral
SHORT,1.3372,1.3374,-0.00019999999999997797,-2.0,-0.014956625785221205,neutral→bear,52,2,1,bull→neutral
LONG,1.3375,1.3375,0.0,0.0,0.0,neutral→bull,18,2,1,bear→neutral
LONG,1.3376,1.3379,0.000300000000000189,3.0,0.022428229665085904,neutral→bull,10,6,6,bear→neutral
SHORT,1.3378,1.3378,0.0,0.0,0.0,neutral→bear,22,1,2,bull→neutral
SHORT,1.3376,1.3374,0.00019999999999997797,2.0,0.0149521531100462,neutral→bear,17,5,6,bull→neutral
LONG,1.3374,1.3386,0.0012000000000000899,12.0,0.08972633467923509,neutral→bull,17,21,5,bear→neutral
SHORT,1.3385,1.3386,-9.999999999998899e-05,-1.0,-0.0074710496824795655,neutral→bear,4,1,2,bull→neutral
LONG,1.3387,1.3391,0.00039999999999995595,4.0,0.029879734070363484,neutral→bull,11,6,1,bear→neutral
LONG,1.3392,1.339,-0.00019999999999997797,-2.0,-0.014934289127835872,neutral→bull,5,3,3,bear→neutral
SHORT,1.3389,1.3382,0.0006999999999999229,7.0,0.052281723803116215,neutral→bear,16,2,10,bull→neutral
SHORT,1.338,1.3382,-0.00019999999999997797,-2.0,-0.01494768310911644,neutral→bear,4,6,4,bull→neutral
LONG,1.3383,1.338,-0.00029999999999996696,-3.0,-0.022416498542925125,neutral→bull,4,3,3,bear→neutral
LONG,1.3381,1.3399,0.0018000000000000238,18.0,0.13451909423810057,neutral→bull,9,20,1,bear→neutral
SHORT,1.3398,1.3389,0.0009000000000001229,9.0,0.06717420510524875,neutral→bear,16,7,11,bull→neutral
LONG,1.339,1.3388,-0.00019999999999997797,-2.0,-0.014936519790887079,neutral→bull,34,4,3,bear→neutral
LONG,1.3389,1.3387,-0.00019999999999997797,-2.0,-0.014937635372318916,neutral→bull,3,4,1,bear→neutral
SHORT,1.3386,1.3388,-0.00019999999999997797,-2.0,-0.014940983116687432,neutral→bear,18,2,1,bull→neutral
SHORT,1.3387,1.3382,0.0004999999999999449,5.0,0.037349667587954355,neutral→bear,13,6,10,bull→neutral
LONG,1.3383,1.3383,0.0,0.0,0.0,neutral→bull,8,6,4,bear→neutral
LONG,1.3384,1.3381,-0.00029999999999996696,-3.0,-0.022414823670051327,neutral→bull,13,3,3,bear→neutral
SHORT,1.338,1.3379,9.999999999998899e-05,1.0,0.00747384155455822,neutral→bear,15,4,4,bull→neutral
LONG,1.338,1.3382,0.00019999999999997797,2.0,0.01494768310911644,neutral→bull,19,6,1,bear→neutral
LONG,1.3383,1.3381,-0.00019999999999997797,-2.0,-0.014944332361950082,neutral→bull,12,1,2,bear→neutral
SHORT,1.338,1.3378,0.00019999999999997797,2.0,0.01494768310911644,neutral→bear,0,1,2,force
