side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.337,1.3365,-0.0004999999999999449,-5.0,-0.03739715781600187,neutral→bull,53,1,2,bear→neutral
LONG,1.3366,1.3363,-0.00029999999999996696,-3.0,-0.02244500972616841,neutral→bull,20,1,2,bear→neutral
LONG,1.3364,1.3366,0.00019999999999997797,2.0,0.01496557916791215,neutral→bull,10,9,2,bear→neutral
SHORT,1.3365,1.3364,9.999999999998899e-05,1.0,0.0074822297044511024,neutral→bear,27,2,1,bull→neutral
SHORT,1.3363,1.3363,0.0,0.0,0.0,neutral→bear,6,7,4,bull→neutral
LONG,1.3359,1.3352,-0.000700000000000145,-7.0,-0.05239913167154315,neutral→bull,94,4,1,bear→neutral
LONG,1.3347,1.3347,0.0,0.0,0.0,neutral→bull,11,20,2,bear→neutral
LONG,1.3348,1.3346,-0.00019999999999997797,-2.0,-0.014983518130055287,neutral→bull,13,4,3,bear→neutral
LONG,1.3347,1.3343,-0.00039999999999995595,-4.0,-0.02996928148647306,neutral→bull,14,18,4,bear→neutral
LONG,1.3343,1.3345,0.00019999999999997797,2.0,0.014989132878661318,neutral→bull,4,6,1,bear→neutral
LONG,1.3346,1.3346,0.0,0.0,0.0,neutral→bull,3,4,1,bear→neutral
LONG,1.3347,1.3339,-0.0007999999999999119,-8.0,-0.05993856297294612,neutral→bull,20,14,3,bear→neutral
LONG,1.334,1.3345,0.0004999999999999449,5.0,0.03748125937031071,neutral→bull,20,19,4,bear→neutral
SHORT,1.3344,1.3345,-9.999999999998899e-05,-1.0,-0.007494004796162244,neutral→bear,17,3,2,bull→neutral
LONG,1.3346,1.335,0.00039999999999995595,4.0,0.02997152704929986,neutral→bull,14,7,3,bear→neutral
SHORT,1.335,1.3353,-0.00029999999999996696,-3.0,-0.022471910112357076,neutral→bear,32,2,1,bull→neutral
LONG,1.3354,1.3354,0.0,0.0,0.0,neutral→bull,10,7,4,bear→neutral
LONG,1.3355,1.3355,0.0,0.0,0.0,neutral→bull,0,0,0,force
