side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
SHORT,1.3403,1.3403,0.0,0.0,0.0,neutral→bear,22,3,4,bull→neutral
LONG,1.3404,1.3402,-0.00019999999999997797,-2.0,-0.014920919128616678,neutral→bull,14,1,2,bear→neutral
SHORT,1.3402,1.3401,9.999999999998899e-05,1.0,0.007461572899566406,neutral→bear,10,4,4,bull→neutral
LONG,1.34,1.34,0.0,0.0,0.0,neutral→bull,8,6,1,bear→neutral
SHORT,1.3399,1.3399,0.0,0.0,0.0,neutral→bear,14,3,2,bull→neutral
LONG,1.34,1.3404,0.00039999999999995595,4.0,0.029850746268653427,neutral→bull,13,10,4,bear→neutral
LONG,1.3404,1.34,-0.00039999999999995595,-4.0,-0.029841838257233355,neutral→bull,30,2,3,bear→neutral
LONG,1.3401,1.3391,-0.001000000000000112,-10.0,-0.07462129691814878,neutral→bull,11,6,3,bear→neutral
LONG,1.3392,1.3397,0.0004999999999999449,5.0,0.037335722819589676,neutral→bull,14,10,1,bear→neutral
LONG,1.3398,1.3394,-0.000400000000000178,-4.0,-0.029855202269008656,neutral→bull,9,3,2,bear→neutral
SHORT,1.3392,1.3392,0.0,0.0,0.0,neutral→bear,18,3,2,bull→neutral
LONG,1.3393,1.3393,0.0,0.0,0.0,neutral→bull,13,2,1,bear→neutral
SHORT,1.3393,1.3394,-9.999999999998899e-05,-1.0,-0.007466587023070932,neutral→bear,12,2,1,bull→neutral
SHORT,1.3393,1.3389,0.00039999999999995595,4.0,0.029866348092283727,neutral→bear,35,6,4,bull→neutral
SHORT,1.3387,1.3387,0.0,0.0,0.0,neutral→bear,9,1,2,bull→neutral
LONG,1.3387,1.3391,0.00039999999999995595,4.0,0.029879734070363484,neutral→bull,16,6,1,bear→neutral
LONG,1.3392,1.339,-0.00019999999999997797,-2.0,-0.014934289127835872,neutral→bull,32,3,2,bear→neutral
LONG,1.3391,1.3393,0.00019999999999997797,2.0,0.01493540437607184,neutral→bull,17,4,2,bear→neutral
SHORT,1.3392,1.3395,-0.00029999999999996696,-3.0,-0.022401433691753805,neutral→bear,23,2,1,bull→neutral
LONG,1.3396,1.3398,0.00020000000000020002,2.0,0.014929829799955214,neutral→bull,69,4,1,bear→neutral
SHORT,1.3397,1.339,0.0006999999999999229,7.0,0.052250503844138464,neutral→bear,10,4,11,bull→neutral
SHORT,1.3389,1.3388,9.999999999998899e-05,1.0,0.007468817686159458,neutral→bear,13,1,4,bull→neutral
SHORT,1.3387,1.3387,0.0,0.0,0.0,neutral→bear,12,2,3,bull→neutral
SHORT,1.3386,1.3379,0.0006999999999999229,7.0,0.052293440908406014,neutral→bear,43,2,9,bull→neutral
SHORT,1.3378,1.3381,-0.00029999999999996696,-3.0,-0.022424876663175882,neutral→bear,20,2,1,bull→neutral
LONG,1.3382,1.3388,0.0005999999999999339,6.0,0.04483634733223239,neutral→bull,15,11,2,bear→neutral
LONG,1.3389,1.3389,0.0,0.0,0.0,neutral→bull,5,3,2,bear→neutral
SHORT,1.3388,1.3389,-9.999999999998899e-05,-1.0,-0.007469375560202344,neutral→bear,11,3,2,bull→neutral
LONG,1.339,1.3393,0.00029999999999996696,3.0,0.022404779686330617,neutral→bull,5,6,1,force
