side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3379,1.3373,-0.000600000000000156,-6.0,-0.04484640107632528,neutral→bull,117,1,2,bear→neutral
SHORT,1.3373,1.3368,0.0004999999999999449,5.0,0.037388768413964324,neutral→bear,20,2,6,bull→neutral
LONG,1.3368,1.337,0.00019999999999997797,2.0,0.014961101137042038,neutral→bull,16,4,1,bear→neutral
SHORT,1.337,1.3374,-0.00039999999999995595,-4.0,-0.029917726252801494,neutral→bear,16,4,3,bull→neutral
LONG,1.3374,1.3374,0.0,0.0,0.0,neutral→bull,57,5,3,bear→neutral
SHORT,1.3374,1.3374,0.0,0.0,0.0,neutral→bear,17,2,2,bull→neutral
LONG,1.3374,1.3374,0.0,0.0,0.0,neutral→bull,50,6,10,bear→neutral
SHORT,1.3374,1.3369,0.0004999999999999449,5.0,0.037385972783007704,neutral→bear,128,3,1,bull→neutral
LONG,1.3369,1.3373,0.00039999999999995595,4.0,0.02991996409603979,neutral→bull,21,6,1,bear→neutral
SHORT,1.3373,1.3376,-0.00029999999999996696,-3.0,-0.022433261048378596,neutral→bear,22,2,2,bull→neutral
LONG,1.3376,1.3381,0.000500000000000167,5.0,0.0373803827751321,neutral→bull,28,10,4,bear→neutral
SHORT,1.3381,1.3379,0.00019999999999997797,2.0,0.014946566026453775,neutral→bear,13,5,4,bull→neutral
LONG,1.3379,1.3379,0.0,0.0,0.0,neutral→bull,15,2,1,bear→neutral
SHORT,1.3379,1.3377,0.00020000000000020002,2.0,0.014948800358786157,neutral→bear,19,2,5,bull→neutral
LONG,1.3377,1.3378,0.00010000000000021103,1.0,0.007475517679615089,neutral→bull,16,7,4,bear→neutral
SHORT,1.3378,1.3379,-9.999999999998899e-05,-1.0,-0.007474958887725294,neutral→bear,40,1,2,bull→neutral
LONG,1.3379,1.3377,-0.00020000000000020002,-2.0,-0.014948800358786157,neutral→bull,44,4,3,bear→neutral
SHORT,1.3377,1.3376,9.999999999998899e-05,1.0,0.00747551767959849,neutral→bear,16,1,6,bull→neutral
LONG,1.3376,1.3388,0.0012000000000000899,12.0,0.08971291866029381,neutral→bull,15,14,1,bear→neutral
SHORT,1.3388,1.3386,0.00019999999999997797,2.0,0.014938751120404688,neutral→bear,17,1,4,bull→neutral
LONG,1.3386,1.3384,-0.00019999999999997797,-2.0,-0.014940983116687432,neutral→bull,24,1,2,bear→neutral
SHORT,1.3384,1.3385,-9.999999999998899e-05,-1.0,-0.0074716078900171085,neutral→bear,27,3,6,bull→neutral
LONG,1.3385,1.3382,-0.00029999999999996696,-3.0,-0.022413149047438696,neutral→bull,16,3,3,bear→neutral
SHORT,1.3382,1.3381,9.999999999998899e-05,1.0,0.007472724555372066,neutral→bear,13,7,8,bull→neutral
LONG,1.3381,1.338,-9.999999999998899e-05,-1.0,-0.007473283013226887,neutral→bull,41,4,6,bear→neutral
SHORT,1.338,1.3378,0.00019999999999997797,2.0,0.01494768310911644,neutral→bear,29,2,4,bull→neutral
LONG,1.3378,1.3381,0.00029999999999996696,3.0,0.022424876663175882,neutral→bull,11,6,1,bear→neutral
SHORT,1.3381,1.3382,-9.999999999998899e-05,-1.0,-0.007473283013226887,neutral→bear,11,2,1,force
