side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3355,1.3354,-9.999999999998899e-05,-1.0,-0.00748783227255627,neutral→bull,42,5,2,bear→neutral
SHORT,1.3354,1.3348,0.0005999999999999339,6.0,0.04493035794518002,neutral→bear,15,2,6,bull→neutral
LONG,1.3348,1.3353,0.0004999999999999449,5.0,0.03745879532513822,neutral→bull,11,14,1,bear→neutral
SHORT,1.3353,1.3352,9.999999999998899e-05,1.0,0.007488953793154272,neutral→bear,67,1,2,bull→neutral
LONG,1.3352,1.3351,-9.999999999998899e-05,-1.0,-0.007489514679447947,neutral→bull,23,3,1,bear→neutral
SHORT,1.3351,1.3351,0.0,0.0,0.0,neutral→bear,69,2,1,bull→neutral
LONG,1.3351,1.3357,0.000600000000000156,6.0,0.044940453898596064,neutral→bull,16,8,1,bear→neutral
SHORT,1.3357,1.3357,0.0,0.0,0.0,neutral→bear,14,1,2,bull→neutral
LONG,1.3357,1.3355,-0.00020000000000020002,-2.0,-0.014973422175653216,neutral→bull,25,3,2,bear→neutral
SHORT,1.3355,1.3343,0.0011999999999998678,12.0,0.08985398727067524,neutral→bear,55,6,10,bull→neutral
LONG,1.3343,1.3345,0.00019999999999997797,2.0,0.014989132878661318,neutral→bull,11,12,2,bear→neutral
SHORT,1.3345,1.3345,0.0,0.0,0.0,neutral→bear,22,1,2,bull→neutral
LONG,1.3345,1.3358,0.0013000000000000789,13.0,0.09741476208318313,neutral→bull,13,22,4,bear→neutral
SHORT,1.3358,1.336,-0.00019999999999997797,-2.0,-0.014972301242699354,neutral→bear,11,2,1,bull→neutral
LONG,1.336,1.3362,0.00019999999999997797,2.0,0.01497005988023787,neutral→bull,14,4,1,bear→neutral
SHORT,1.3362,1.3356,0.000600000000000156,6.0,0.04490345756624427,neutral→bear,17,2,8,bull→neutral
LONG,1.3356,1.336,0.000400000000000178,4.0,0.029949086552873466,neutral→bull,11,6,2,bear→neutral
SHORT,1.336,1.3358,0.00019999999999997797,2.0,0.01497005988023787,neutral→bear,14,3,5,bull→neutral
LONG,1.3358,1.3361,0.00029999999999996696,3.0,0.022458451864049028,neutral→bull,11,5,2,bear→neutral
SHORT,1.3361,1.336,9.999999999998899e-05,1.0,0.007484469725319136,neutral→bear,63,2,3,bull→neutral
LONG,1.336,1.3357,-0.00029999999999996696,-3.0,-0.022455089820356808,neutral→bull,13,1,2,bear→neutral
SHORT,1.3357,1.3354,0.000300000000000189,3.0,0.022460133263471512,neutral→bear,25,1,5,force
