side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
SHORT,1.3443,1.3441,0.00019999999999997797,2.0,0.014877631481066574,neutral→bear,102,2,4,bull→neutral
LONG,1.3441,1.3445,0.00039999999999995595,4.0,0.02975969049921553,neutral→bull,10,18,3,bear→neutral
SHORT,1.3445,1.3443,0.00019999999999997797,2.0,0.014875418371140049,neutral→bear,14,2,4,bull→neutral
LONG,1.3443,1.3442,-9.999999999998899e-05,-1.0,-0.007438815740533287,neutral→bull,15,2,2,bear→neutral
SHORT,1.3442,1.3443,-9.999999999998899e-05,-1.0,-0.007439369141495981,neutral→bear,25,2,1,bull→neutral
LONG,1.3443,1.3444,9.999999999998899e-05,1.0,0.007438815740533287,neutral→bull,15,3,1,bear→neutral
SHORT,1.3444,1.3443,9.999999999998899e-05,1.0,0.007438262421897424,neutral→bear,37,1,2,bull→neutral
LONG,1.3443,1.3449,0.0005999999999999339,6.0,0.044632894443199726,neutral→bull,10,11,2,bear→neutral
SHORT,1.3449,1.3453,-0.00039999999999995595,-4.0,-0.029741988251911367,neutral→bear,19,5,3,bull→neutral
LONG,1.3453,1.3454,9.999999999998899e-05,1.0,0.007433286255852895,neutral→bull,12,3,1,bear→neutral
SHORT,1.3454,1.3451,0.00029999999999996696,3.0,0.022298201278427753,neutral→bear,23,5,4,bull→neutral
LONG,1.3451,1.3456,0.0004999999999999449,5.0,0.03717195747527656,neutral→bull,11,17,10,bear→neutral
SHORT,1.3456,1.3455,9.999999999998899e-05,1.0,0.007431629013078849,neutral→bear,18,2,5,bull→neutral
LONG,1.3455,1.3453,-0.00019999999999997797,-2.0,-0.01486436269044801,neutral→bull,42,1,2,bear→neutral
SHORT,1.3453,1.3454,-9.999999999998899e-05,-1.0,-0.007433286255852895,neutral→bear,19,2,2,bull→neutral
LONG,1.3454,1.3453,-9.999999999998899e-05,-1.0,-0.0074327337594759174,neutral→bull,19,7,5,bear→neutral
SHORT,1.3453,1.3455,-0.00019999999999997797,-2.0,-0.01486657251170579,neutral→bear,14,9,5,bull→neutral
LONG,1.3455,1.3461,0.000600000000000156,6.0,0.04459308807136054,neutral→bull,15,9,1,bear→neutral
SHORT,1.3461,1.3463,-0.00019999999999997797,-2.0,-0.014857737166627886,neutral→bear,28,4,3,bull→neutral
LONG,1.3463,1.347,0.0006999999999999229,7.0,0.05199435489860528,neutral→bull,12,16,8,bear→neutral
SHORT,1.347,1.347,0.0,0.0,0.0,neutral→bear,12,1,2,bull→neutral
LONG,1.347,1.347,0.0,0.0,0.0,neutral→bull,21,3,2,bear→neutral
SHORT,1.347,1.3449,0.0020999999999999908,21.0,0.1559020044543423,neutral→bear,13,5,24,bull→neutral
LONG,1.3449,1.3448,-9.999999999998899e-05,-1.0,-0.007435497062977842,neutral→bull,12,2,1,bear→neutral
SHORT,1.3448,1.3444,0.00039999999999995595,4.0,0.029744199881019923,neutral→bear,14,3,6,bull→neutral
LONG,1.3444,1.346,0.0016000000000000458,16.0,0.11901219875037532,neutral→bull,10,18,3,force
