side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3348,1.3359,0.001100000000000101,11.0,0.08240934971532071,neutral→bull,60,21,2,bear→neutral
SHORT,1.3359,1.3362,-0.00029999999999996696,-3.0,-0.02245677071636851,neutral→bear,30,4,2,bull→neutral
LONG,1.3362,1.3361,-9.999999999998899e-05,-1.0,-0.007483909594371275,neutral→bull,11,7,5,bear→neutral
SHORT,1.3361,1.3361,0.0,0.0,0.0,neutral→bear,22,3,3,bull→neutral
LONG,1.3361,1.3361,0.0,0.0,0.0,neutral→bull,13,2,1,bear→neutral
SHORT,1.3361,1.3363,-0.00019999999999997797,-2.0,-0.014968939450638272,neutral→bear,12,4,2,bull→neutral
LONG,1.3363,1.3369,0.0005999999999999339,6.0,0.04490009728353917,neutral→bull,13,9,1,bear→neutral
SHORT,1.3369,1.3371,-0.00019999999999997797,-2.0,-0.014959982048019895,neutral→bear,27,2,1,bull→neutral
LONG,1.3371,1.3372,9.999999999998899e-05,1.0,0.007478872186073517,neutral→bull,11,3,1,bear→neutral
SHORT,1.3372,1.3354,0.0018000000000000238,18.0,0.13460963206700746,neutral→bear,16,5,18,bull→neutral
LONG,1.3354,1.3354,0.0,0.0,0.0,neutral→bull,11,2,1,bear→neutral
SHORT,1.3354,1.3356,-0.00019999999999997797,-2.0,-0.014976785981726673,neutral→bear,20,7,5,bull→neutral
LONG,1.3356,1.3358,0.00020000000000020002,2.0,0.014974543276445046,neutral→bull,22,4,1,bear→neutral
SHORT,1.3358,1.3352,0.000600000000000156,6.0,0.04491690372811468,neutral→bear,51,1,8,bull→neutral
LONG,1.3352,1.3349,-0.00029999999999996696,-3.0,-0.022468544038343842,neutral→bull,61,1,2,bear→neutral
SHORT,1.3349,1.3347,0.00019999999999997797,2.0,0.014982395685068393,neutral→bear,13,1,4,bull→neutral
LONG,1.3347,1.3357,0.001000000000000112,10.0,0.07492320371619929,neutral→bull,10,13,2,bear→neutral
SHORT,1.3357,1.3361,-0.00039999999999995595,-4.0,-0.029946844351273184,neutral→bear,10,4,1,bull→neutral
LONG,1.3361,1.3364,0.00029999999999996696,3.0,0.02245340917595741,neutral→bull,10,5,1,bear→neutral
SHORT,1.3364,1.3369,-0.0004999999999999449,-5.0,-0.03741394791978037,neutral→bear,10,5,2,bull→neutral
LONG,1.3369,1.3371,0.00019999999999997797,2.0,0.014959982048019895,neutral→bull,26,6,3,bear→neutral
SHORT,1.3371,1.3354,0.0017000000000000348,17.0,0.12714082716326638,neutral→bear,18,5,23,bull→neutral
LONG,1.3354,1.3354,0.0,0.0,0.0,neutral→bull,15,2,1,bear→neutral
SHORT,1.3354,1.3357,-0.000300000000000189,-3.0,-0.022465178972606636,neutral→bear,17,2,1,bull→neutral
LONG,1.3357,1.3354,-0.000300000000000189,-3.0,-0.022460133263471512,neutral→bull,16,2,3,bear→neutral
SHORT,1.3354,1.3357,-0.000300000000000189,-3.0,-0.022465178972606636,neutral→bear,10,10,7,bull→neutral
LONG,1.3357,1.3354,-0.000300000000000189,-3.0,-0.022460133263471512,neutral→bull,32,2,2,force
