symbol,trade_id,price,quantity,buyer_order_id,seller_order_id,is_buyer_market_maker,knowledge,decision,decision_norm,entropy,delta_t,cosine_similarity,delta_h_over_delta_d,frobenius_norm,timestamp
XRPUSDT,1594810886.0,1.3845,3.1,,,True,0.0024835707650561634,0.500620892372119,0.500620892372119,,1.0,1.0,,0.004967141530112327,2026-03-22 19:58:47.867000
XRPUSDT,1594810887.0,1.3845,1.9,,,True,0.0070245989181115,0.5012417828293724,0.708862927305368,-7.786333319074747e-06,1.0,1.0,,0.009934283060224654,2026-03-22 19:58:47.867000
XRPUSDT,1594810888.0,1.3846,144.4,,,False,0.017206682997079926,0.5024835503399621,0.870327039156408,-4.449250994254905e-05,1.67,1.0000000000000002,-0.02955962071035616,0.014901424889518582,2026-03-22 19:58:49.537000
XRPUSDT,1594810889.0,1.3846,3.8,,,False,0.024835707874947835,0.5031044235637796,1.0062088471836534,-5.783946222592282e-05,3.985,1.0,-0.021497065377224393,0.01986856848654212,2026-03-22 19:58:53.522000
XRPUSDT,1594810890.0,1.3846,8.8,,,False,0.03332060094077825,0.5037252872137418,1.126363984844296,-8.898230478765191e-05,1.669,0.9999999999999978,-0.05016051843851195,0.024835711038399894,2026-03-22 19:58:55.191000
XRPUSDT,1594810891.0,1.3845,2.1,,,True,0.036500890886917464,0.5037252872137418,1.23386992526052,-4.004204812791067e-05,0.101,0.9999999999999957,,0.02980285211695586,2026-03-22 19:58:55.292000
XRPUSDT,1594810892.0,1.3845,3.8,,,True,0.04599637829672471,0.5043461393753373,1.3343744604931724,-0.00014125654264665746,0.101,0.9999999999999967,-0.16302511415701273,0.03476999336717647,2026-03-22 19:58:55.292000
XRPUSDT,1594810893.0,1.3845,1.5,,,True,0.05619679529887405,0.5049669781341966,1.428262299044276,-0.00018796695451596044,0.101,0.9999999999999972,-0.07523758979728208,0.039737134759173995,2026-03-22 19:58:55.292000
XRPUSDT,1594810894.0,1.3845,2.3,,,True,0.06705641464294503,0.5055878015761154,1.5167634057248285,-0.00024134769133331302,0.72,0.9999999999999982,-0.08598376480817892,0.04470427784381119,2026-03-22 19:58:56.012000
XRPUSDT,1594810895.0,1.3845,3.7,,,True,0.07853740987000406,0.5062086077870784,1.6007721733878086,-0.0003013977979046582,0.72,0.9999999999999976,-0.09672922968697384,0.049671421317179616,2026-03-22 19:58:56.012000
XRPUSDT,1594810896.0,1.3845,3.7,,,True,0.09060780568611103,0.5068293948532829,1.6809629378603372,-0.000368116048079236,0.72,0.9999999999999972,-0.10747364725636802,0.054638565231500485,2026-03-22 19:58:56.012000
XRPUSDT,1594810897.0,1.3845,3.7,,,True,0.10324011186418532,0.5074501608611622,1.7578589253107215,-0.0004415012145701,0.72,0.9999999999999964,-0.11821711491833557,0.059605709637689124,2026-03-22 19:58:56.012000
XRPUSDT,1594810898.0,1.3845,1.3,,,True,0.11641036190359166,0.5080709038974094,1.8318757003942145,-0.0005215519131813778,0.72,0.9999999999999956,-0.12895947910304928,0.06457285458585264,2026-03-22 19:58:56.012000
XRPUSDT,1594810899.0,1.3846,165.0,,,False,0.13939008951089546,0.5093123134032194,1.905672186125616,-0.0010596929916517805,0.081,0.999999999999995,-0.4334919911212413,0.06953999567930821,2026-03-22 19:58:56.093000
XRPUSDT,1594810900.0,1.3846,106.7,,,False,0.15390127765137152,0.5099329760476791,1.974961930476138,-0.0007672119769779136,11.545,0.9999999999999949,0.47123991959992534,0.07450724480741541,2026-03-22 19:59:07.638000
XRPUSDT,1594810901.0,1.3846,119.9,,,False,0.16888305454337776,0.5105536080703473,2.0422144928842614,-0.0008716994969276315,0.001,0.9999999999998553,-0.1683566366757836,0.07947437873230077,2026-03-22 19:59:07.639000
XRPUSDT,1594810902.0,1.3846,1342.3,,,False,0.18432067797509732,0.5111742075595694,2.1076253096552944,-0.0009828184839853346,2.42,0.9999999999998301,-0.17905104497747112,0.08444154300994028,2026-03-22 19:59:10.059000
XRPUSDT,1594810903.0,1.3846,3.7,,,False,0.20020136034868766,0.5117947726040915,2.171361398460188,-0.0011006093786089313,2.42,0.9999999999997712,-0.1898123261427403,0.08940871007892272,2026-03-22 19:59:10.059000
XRPUSDT,1594810904.0,1.3846,722.2,,,False,0.21651303534490765,0.5124153012930842,2.23356660432183,-0.001225049857506941,2.42,0.9999999999997047,-0.20053944500132773,0.09437588010221441,2026-03-22 19:59:10.059000
XRPUSDT,1594810905.0,1.3846,3.7,,,False,0.2332446179193444,0.5130357917161668,2.2943659176376068,-0.0013561409568270957,2.42,0.9999999999996282,-0.21127014123587176,0.09934305324252923,2026-03-22 19:59:10.059000
XRPUSDT,1594810906.0,1.3846,3.7,,,False,0.2503858360048902,0.5136562419634296,2.3538687382538335,-0.0014938802287467697,2.42,0.9999999999995417,-0.2219988992305404,0.10431022966237857,2026-03-22 19:59:10.059000
XRPUSDT,1594810907.0,1.3846,3.7,,,False,0.2679271358568881,0.5142766501254583,2.4121714566197654,-0.0016382651041889303,2.42,0.9999999999994442,-0.23272562206472855,0.1092774095240996,2026-03-22 19:59:10.059000
XRPUSDT,1594810908.0,1.3846,3.8,,,False,0.2858596021288288,0.5148970142933572,2.46935951098857,-0.00178929289289815,2.42,0.9999999999993338,-0.24345021283342744,0.114244592989875,2026-03-22 19:59:10.059000
XRPUSDT,1594810909.0,1.3846,3.8,,,False,0.30417488985901503,0.5155173325587725,2.525509044992142,-0.001946960783521599,2.42,0.9999999999992094,-0.2541725746506733,0.1192117802217471,2026-03-22 19:59:10.059000
XRPUSDT,1594810910.0,1.3846,451.3,,,False,0.32286516618077943,0.5161376030139162,2.5806882564986156,-0.002111265843693688,2.42,0.9999999999990705,-0.2648926106500263,0.1241789713816279,2026-03-22 19:59:10.059000
