side,entry,exit,pnl,pnl_pct,entry_transition,nn_count,close_reason
SHORT,1.4899,1.4889,0.001000000000000112,0.0671185985636695,neutral→bear,14,bull→neutral
LONG,1.4889,1.4898,0.0009000000000001229,0.06044731009470904,neutral→bull,9,bear→neutral
SHORT,1.4898,1.4893,0.0004999999999999449,0.03356155188615552,neutral→bear,29,bull→neutral
LONG,1.4893,1.4888,-0.000500000000000167,-0.03357281944538824,neutral→bull,0,bear→neutral
SHORT,1.4888,1.4887,9.999999999998899e-05,0.006716818914561324,neutral→bear,22,bull→neutral
LONG,1.4887,1.4888,9.999999999998899e-05,0.006717270101430039,neutral→bull,15,bear→neutral
SHORT,1.4888,1.4887,9.999999999998899e-05,0.006716818914561324,neutral→bear,23,bull→neutral
LONG,1.4887,1.489,0.000300000000000189,0.02015181030430503,neutral→bull,18,bear→neutral
SHORT,1.489,1.4886,0.000400000000000178,0.02686366689054251,neutral→bear,13,bull→neutral
LONG,1.4886,1.4887,9.999999999998899e-05,0.0067177213489177075,neutral→bull,28,bear→neutral
SHORT,1.4887,1.4882,0.0004999999999999449,0.0335863505071502,neutral→bear,2,bull→neutral
LONG,1.4882,1.4887,0.0004999999999999449,0.033597634726511554,neutral→bull,22,bear→neutral
SHORT,1.4887,1.4893,-0.000600000000000156,-0.040303620608595145,neutral→bear,3,bull→neutral
LONG,1.4893,1.4894,9.999999999998899e-05,0.006714563889074664,neutral→bull,12,bear→neutral
SHORT,1.4894,1.4893,9.999999999998899e-05,0.006714113065663286,neutral→bear,10,bull→neutral
LONG,1.4893,1.4898,0.0004999999999999449,0.033572819445373325,neutral→bull,13,bear→neutral
SHORT,1.4898,1.4895,0.00029999999999996696,0.02013693113169331,neutral→bear,26,bull→neutral
LONG,1.4895,1.4895,0.0,0.0,neutral→bull,5,bear→neutral
SHORT,1.4895,1.4891,0.00039999999999995595,0.02685464921114172,neutral→bear,5,bull→neutral
LONG,1.4891,1.4897,0.0005999999999999339,0.040292794305280634,neutral→bull,10,bear→neutral
SHORT,1.4897,1.489,0.0006999999999999229,0.046989326710070674,neutral→bear,20,bull→neutral
LONG,1.489,1.4891,9.999999999998899e-05,0.0067159167226318985,neutral→bull,10,bear→neutral
SHORT,1.4891,1.4882,0.0009000000000001229,0.06043919145793586,neutral→bear,7,bull→neutral
LONG,1.4882,1.4885,0.00029999999999996696,0.020158580835906933,neutral→bull,20,bear→neutral
SHORT,1.4885,1.4883,0.00019999999999997797,0.013436345314073091,neutral→bear,0,bull→neutral
LONG,1.4883,1.4882,-9.999999999998899e-05,-0.006719075455216622,neutral→bull,5,bear→neutral
SHORT,1.4882,1.4881,9.999999999998899e-05,0.006719526945302311,neutral→bear,17,bull→neutral
LONG,1.4881,1.4886,0.0004999999999999449,0.033599892480340364,neutral→bull,27,bear→neutral
SHORT,1.4886,1.4885,9.999999999998899e-05,0.0067177213489177075,neutral→bear,16,bull→neutral
LONG,1.4885,1.4886,9.999999999998899e-05,0.0067181726570365455,neutral→bull,14,bear→neutral
SHORT,1.4886,1.4885,9.999999999998899e-05,0.0067177213489177075,neutral→bear,10,bull→neutral
LONG,1.4885,1.4887,0.00019999999999997797,0.013436345314073091,neutral→bull,0,force
