side,entry,exit,pnl,pnl_pct,entry_transition,nn_count,close_reason
LONG,1.4881,1.4883,0.00019999999999997797,0.013439956992136145,neutral→bull,6,bear→neutral
SHORT,1.4883,1.4876,0.0006999999999999229,0.047033528186516356,neutral→bear,20,bull→neutral
LONG,1.4876,1.4874,-0.00019999999999997797,-0.013444474321052564,neutral→bull,3,bear→neutral
SHORT,1.4874,1.4873,9.999999999998899e-05,0.00672314105149852,neutral→bear,16,bull→neutral
LONG,1.4873,1.4871,-0.00019999999999997797,-0.013447186176291129,neutral→bull,0,bear→neutral
SHORT,1.4871,1.4862,0.0009000000000001229,0.06052047609442021,neutral→bear,15,bull→neutral
LONG,1.4862,1.4866,0.00039999999999995595,0.02691427802448903,neutral→bull,34,bear→neutral
SHORT,1.4866,1.4863,0.00029999999999996696,0.020180277142470535,neutral→bear,11,bull→neutral
LONG,1.4863,1.486,-0.00029999999999996696,-0.020184350400320728,neutral→bull,61,bear→neutral
SHORT,1.486,1.4858,0.00019999999999997797,0.013458950201882772,neutral→bear,13,bull→neutral
LONG,1.4858,1.4849,-0.0008999999999999009,-0.06057342845604394,neutral→bull,23,bear→neutral
SHORT,1.4849,1.4846,0.000300000000000189,0.0202033806990497,neutral→bear,17,bull→neutral
LONG,1.4846,1.4845,-9.999999999998899e-05,-0.0067358210965909335,neutral→bull,12,bear→neutral
SHORT,1.4845,1.4843,0.00019999999999997797,0.013472549680025462,neutral→bear,12,bull→neutral
LONG,1.4843,1.484,-0.00029999999999996696,-0.020211547530820384,neutral→bull,1,bear→neutral
SHORT,1.484,1.4817,0.0022999999999999687,0.1549865229110491,neutral→bear,17,bull→neutral
LONG,1.4817,1.4818,9.999999999998899e-05,0.006749004521832287,neutral→bull,22,bear→neutral
SHORT,1.4818,1.4816,0.00019999999999997797,0.013497098123901874,neutral→bear,4,bull→neutral
LONG,1.4816,1.4807,-0.0009000000000001229,-0.060745140388777194,neutral→bull,23,bear→neutral
SHORT,1.4807,1.4802,0.0004999999999999449,0.03376781252110116,neutral→bear,7,bull→neutral
LONG,1.4802,1.482,0.0018000000000000238,0.12160518848804378,neutral→bull,12,bear→neutral
SHORT,1.482,1.4818,0.00019999999999997797,0.013495276653169904,neutral→bear,8,force
