symbol,trade_id,price,quantity,buyer_order_id,seller_order_id,is_buyer_market_maker,knowledge,decision,decision_norm,entropy,delta_t,cosine_similarity,delta_h_over_delta_d,frobenius_norm,timestamp
XRPUSDT,1587557090.0,1.408,32.7,,,True,0.0024835707650561634,0.500620892372119,0.500620892372119,,1.0,1.0,,0.004967141530112327,2026-03-14 23:55:50.226000
XRPUSDT,1587557091.0,1.4081,32.7,,,False,0.008221951475372063,0.5014534453168075,0.7091622632657443,-1.1078426944699336e-05,2.161,1.0000000000000002,,0.009934283060224654,2026-03-14 23:55:52.387000
XRPUSDT,1587557092.0,1.4081,234.3,,,False,0.014371463651562423,0.5020743302011494,0.869618249084504,-2.505530102371882e-05,0.042,1.0,-0.022511216541907585,0.014901424597208966,2026-03-14 23:55:52.429000
XRPUSDT,1587557093.0,1.408,15.2,,,True,0.019868676837385895,0.5024835641784996,1.0049671283584751,-3.394313521982229e-05,1.147,1.0000000000000002,-0.021718221574986048,0.0198685665117627,2026-03-14 23:55:53.576000
XRPUSDT,1587557094.0,1.408,32.7,,,True,0.027767289456601122,0.5031044374021252,1.124975721910416,-6.78505861119578e-05,0.711,1.0,-0.05461251927427829,0.024835708371212937,2026-03-14 23:55:54.287000
XRPUSDT,1587557095.0,1.4081,5.0,,,False,0.03857489851535913,0.5039369526500458,1.234388396718676,-0.00012929360439986782,2.212,1.0000000000000002,-0.07380407559066063,0.029802851985851555,2026-03-14 23:55:56.499000
XRPUSDT,1587557096.0,1.4081,46.3,,,False,0.04823656544605858,0.5045578004573799,1.3349344628715427,-0.00015124380856211206,0.436,0.9999999999999989,-0.03535520928470184,0.034769993788168564,2026-03-14 23:55:56.935000
XRPUSDT,1587557097.0,1.4081,6.0,,,False,0.05859165691286531,0.5051786342093577,1.428860952810979,-0.00019947014459071528,0.663,0.9999999999999989,-0.07767995195970492,0.03973713633367316,2026-03-14 23:55:57.598000
XRPUSDT,1587557098.0,1.4081,32.7,,,False,0.0695965506768991,0.505799451991837,1.5173983573792482,-0.0002543665793975977,0.041,0.9999999999999984,-0.0884260025343553,0.04470427752257944,2026-03-14 23:55:57.639000
XRPUSDT,1587557099.0,1.408,4.2,,,True,0.07853775907257658,0.5062086354605688,1.6007722606749912,-0.00023881932083867722,0.301,0.9999999999999984,0.037995812995828694,0.049671419697408334,2026-03-14 23:55:57.940000
XRPUSDT,1587557100.0,1.4081,3.6,,,False,0.0934162107228444,0.507041045828873,1.681664904032358,-0.000461283972457774,2.078,0.9999999999999982,-0.2672535807937055,0.05463856957586882,2026-03-14 23:56:00.018000
XRPUSDT,1587557101.0,1.4081,3.8,,,False,0.10617340458225459,0.5076618042195841,1.7585920810091187,-0.00045906655981748723,2.078,0.9999999999999956,0.0035721025659383554,0.059605721014535984,2026-03-14 23:56:00.018000
XRPUSDT,1587557102.0,1.4081,3.8,,,False,0.11946344191730551,0.5082825389863896,1.8326387662609505,-0.0005406317992575529,2.078,0.9999999999999886,-0.1314011133286712,0.06457287388305734,2026-03-14 23:56:00.018000
XRPUSDT,1587557103.0,1.4081,3.7,,,False,0.13326576377456487,0.5089032482163681,1.9041416128004214,-0.0006288606361037486,2.078,0.9999999999999781,-0.14214197660514077,0.0695400283623653,2026-03-14 23:56:00.018000
