symbol,trade_id,price,quantity,buyer_order_id,seller_order_id,is_buyer_market_maker,knowledge,decision,decision_norm,entropy,delta_t,cosine_similarity,delta_h_over_delta_d,frobenius_norm,timestamp
XRPUSDT,1596597735.0,1.4209,3.6,,,False,0.0024835707650561634,0.500620892372119,0.500620892372119,,1.0,1.0,,0.004967141530112327,2026-03-24 08:30:39.803000
XRPUSDT,1596597736.0,1.4209,3.7,,,False,0.0070245989181115,0.5012417828293724,0.708862927305368,-7.786333319074747e-06,1.0,1.0,,0.009934283060224654,2026-03-24 08:30:39.803000
XRPUSDT,1596597737.0,1.4209,3.7,,,False,0.012905012247809947,0.5018626694569183,0.8692516419215278,-2.1134170346825267e-05,1.0,1.0000000000000002,-0.021498026266903208,0.014901424709770753,2026-03-24 08:30:39.803000
XRPUSDT,1596597738.0,1.4209,3.7,,,False,0.019868566210024637,0.5024835503399621,1.0049671007023173,-4.115557233873822e-05,1.0,0.9999999999999998,-0.03224676832335439,0.019868566512339043,2026-03-24 08:30:39.803000
XRPUSDT,1596597739.0,1.4209,3.7,,,False,0.027767165638500537,0.5031044235637796,1.124975690957084,-6.785013889102079e-05,1.0,0.9999999999999999,-0.04299519697136657,0.024835708537344927,2026-03-24 08:30:39.803000
XRPUSDT,1596597740.0,1.4209,3.7,,,False,0.036500887591956854,0.5037252872137418,1.2338699244368256,-0.00010121734691163946,1.0,0.9999999999999999,-0.05374321402557865,0.02980285085270619,2026-03-24 08:30:39.803000
XRPUSDT,1596597741.0,1.4209,3.7,,,False,0.04599637615028956,0.5043461393753373,1.334374459956604,-0.00014125655041596788,1.0,0.9999999999999998,-0.0644907209494586,0.034769993525908,2026-03-24 08:30:39.803000
XRPUSDT,1596597742.0,1.4209,478.9,,,False,0.056196794828427356,0.5049669781341966,1.4282622989266758,-0.00018796698058694665,1.0,0.999999999999999,-0.07523761927623379,0.03973713662426812,2026-03-24 08:30:39.803000
XRPUSDT,1596597743.0,1.4209,17.6,,,False,0.067056416501009,0.5055878015761154,1.516763406189287,-0.00024134774579886612,0.056,0.9999999999999987,-0.08598381054512275,0.04470427781000979,2026-03-24 08:30:39.859000
XRPUSDT,1596597744.0,1.4209,262.5,,,False,0.07853740922543996,0.5062086077870784,1.6007721732266924,-0.00030139773471858097,3.637,0.9999999999999987,-0.09672904017271274,0.04967143080969429,2026-03-24 08:30:43.496000
XRPUSDT,1596597745.0,1.4209,4241.0,,,False,0.09060781942790935,0.5068293948532829,1.6809629412951457,-0.00036811651531573023,0.181,0.999999999999992,-0.1074745016919714,0.05463857166678857,2026-03-24 08:30:43.677000
XRPUSDT,1596597746.0,1.4209,32.7,,,False,0.1032401215370827,0.5074501608611622,1.7578589277284087,-0.00044150112567703303,0.181,0.9999999999999911,-0.11821621904202449,0.059605712859596593,2026-03-24 08:30:43.677000
XRPUSDT,1596597747.0,1.4209,36.8,,,False,0.11641036674203625,0.5080709038974094,1.83187570160351,-0.0005215517561821743,0.181,0.999999999999991,-0.12895936938593183,0.06457285435177684,2026-03-24 08:30:43.677000
XRPUSDT,1596597748.0,1.4209,88.6,,,False,0.13009741770150748,0.5086916220490008,1.9033497715078715,-0.0006082663911100052,0.181,0.9999999999999913,-0.13970049805296594,0.06953999612083829,2026-03-24 08:30:43.677000
XRPUSDT,1596597749.0,1.4209,3.6,,,False,0.14428244975018892,0.5093123134032194,1.9725581144685713,-0.0007016433968916821,0.181,0.9999999999999915,-0.1504403197290064,0.07450713815352247,2026-03-24 08:30:43.677000
XRPUSDT,1596597750.0,1.4209,3.7,,,False,0.15894855746703793,0.5099329760476791,2.0397319113137646,-0.0008016810169321659,0.181,0.999999999999992,-0.16117873523316092,0.07947428044291689,2026-03-24 08:30:43.677000
XRPUSDT,1596597751.0,1.4209,3.7,,,False,0.1740804490505035,0.5105536080703473,2.1050664613530734,-0.0009083773716645771,0.181,0.9999999999999921,-0.1719156453991763,0.08444142298658744,2026-03-24 08:30:43.677000
XRPUSDT,1596597752.0,1.4209,3.7,,,False,0.18966420479725257,0.5111742075595694,2.1687284996960017,-0.001021730458608316,0.181,0.999999999999992,-0.18265095107606663,0.08940856578533306,2026-03-24 08:30:43.677000
XRPUSDT,1596597753.0,1.4209,3.7,,,False,0.20568708336394542,0.5117947726040915,2.230861703025303,-0.001141738152430963,0.181,0.9999999999999922,-0.19338455312944997,0.09437570884233382,2026-03-24 08:30:43.677000
XRPUSDT,1596597754.0,1.4209,3.7,,,False,0.22213736430100148,0.5124153012930842,2.291590903297554,-0.001268398205013939,0.181,0.9999999999999923,-0.20411635244225362,0.09934285216255424,2026-03-24 08:30:43.677000
XRPUSDT,1596597755.0,1.4209,3.7,,,False,0.23900421856607978,0.5130357917161668,2.351025361515048,-0.0014017082455219485,0.181,0.9999999999999923,-0.21484624991589196,0.10430999575231713,2026-03-24 08:30:43.677000
XRPUSDT,1596597756.0,1.4209,5.3,,,False,0.25627760093104834,0.5136562419634296,2.4092613456460388,-0.0015416657804761757,0.181,0.9999999999999917,-0.22557414647129667,0.10927713961899375,2026-03-24 08:30:43.677000
XRPUSDT,1596597757.0,1.4209,3.7,,,False,0.27394815974038367,0.5142766501254583,2.466384185247053,-0.001688268193831238,0.181,0.9999999999999919,-0.23629994304988555,0.11424428377077442,2026-03-24 08:30:43.677000
XRPUSDT,1596597758.0,1.4209,7255.1,,,False,0.2920071605803315,0.5148970142933572,2.522469926958943,-0.001841512747055902,0.181,0.9999999999999915,-0.24702354061435347,0.11921142821649658,2026-03-24 08:30:43.677000
XRPUSDT,1596597759.0,1.4209,9803.4,,,False,0.3104464212171375,0.5155173325587725,2.5775866816719413,-0.0020013965792175605,0.181,0.999999999999991,-0.2577448401501038,0.12417857296551418,2026-03-24 08:30:43.677000
XRPUSDT,1596597760.0,1.4209,879.1,,,False,0.3292582557511751,0.5161376030139162,2.631795730718932,-0.002167916707070449,0.181,0.9999999999999902,-0.26846374266579526,0.12914571802759697,2026-03-24 08:30:43.677000
XRPUSDT,1596597761.0,1.4209,3.6,,,False,0.3484354263733514,0.516757823751589,2.6851524417331754,-0.0023410700251475934,0.181,0.9999999999999895,-0.27918014919472633,0.13411286341285217,2026-03-24 08:30:43.677000
XRPUSDT,1596597762.0,1.4209,3.7,,,False,0.3679711014426527,0.5173779928652038,2.737707032697618,-0.0025208533058565267,0.181,0.9999999999999888,-0.2898939607956481,0.1390800091316627,2026-03-24 08:30:43.677000
XRPUSDT,1596597763.0,1.421,3.7,,,False,0.40123325673811666,0.518618168597115,2.7928443399124823,-0.004607592770113705,0.428,0.9999999999999889,-1.6826159475330502,0.14404716407615303,2026-03-24 08:30:44.105000
XRPUSDT,1596597764.0,1.421,3.6,,,False,0.421695554719305,0.5192381714055099,2.843984631420069,-0.003032199735434766,0.428,0.9999999999999865,2.540944997906335,0.14901432027028874,2026-03-24 08:30:44.105000
XRPUSDT,1596597765.0,1.421,4.6,,,False,0.44249417938984764,0.5198581149700909,2.894447536640358,-0.003236254627355625,0.428,0.9999999999999832,-0.3291507543251184,0.15398147720247618,2026-03-24 08:30:44.105000
XRPUSDT,1596597766.0,1.421,7.1,,,False,0.4636237776113045,0.520477997387684,2.944268233439363,-0.0034469218196450115,1.106,0.9999999999999789,-0.3398502462892806,0.15894866498900112,2026-03-24 08:30:45.211000
XRPUSDT,1596597767.0,1.421,3.7,,,False,0.48507933293010147,0.5210978167558671,2.993479149689627,-0.0036642128808996198,1.106,0.9999999999999657,-0.3505715897384039,0.1639158546188711,2026-03-24 08:30:45.211000
XRPUSDT,1596597768.0,1.421,3.7,,,False,0.5068558907103787,0.5217175711729946,3.042110193119857,-0.0038880959710782233,1.106,0.9999999999999456,-0.36124484794523876,0.16888304621342481,2026-03-24 08:30:45.211000
