symbol,trade_id,price,quantity,buyer_order_id,seller_order_id,is_buyer_market_maker,knowledge,decision,decision_norm,entropy,delta_t,cosine_similarity,delta_h_over_delta_d,frobenius_norm,timestamp
XRPUSDT,1598238376.0,1.3626,4.8,,,True,0.0024835707650561634,0.500620892372119,0.500620892372119,,1.0,1.0,,0.004967141530112327,2026-03-27 00:21:37.474000
XRPUSDT,1598238377.0,1.3626,50.0,,,True,0.0070245989181115,0.5012417828293724,0.708862927305368,-7.786333319074747e-06,3.528,1.0,,0.009934283060224654,2026-03-27 00:21:41.002000
XRPUSDT,1598238378.0,1.3627,5.0,,,False,0.017206682997079926,0.5024835503399621,0.870327039156408,-4.449250994254905e-05,1.671,1.0000000000000002,-0.02955962071035616,0.014901424889697732,2026-03-27 00:21:42.673000
XRPUSDT,1598238379.0,1.3627,7.0,,,False,0.024835707875082196,0.5031044235637796,1.0062088471836872,-5.783946222712634e-05,0.072,0.9999999999999999,-0.021497065379162822,0.019868566383665697,2026-03-27 00:21:42.745000
XRPUSDT,1598238380.0,1.3627,32.6,,,False,0.03332059858966099,0.5037252872137418,1.126363984256549,-8.89822765330839e-05,3.151,1.0,-0.0501604729280822,0.02483571068356211,2026-03-27 00:21:45.896000
XRPUSDT,1598238381.0,1.3627,40.0,,,False,0.04258437148093607,0.5043461393753373,1.235390696132006,-0.00012679725452427435,0.822,0.9999999999999981,-0.06090818447665037,0.02980285281258379,2026-03-27 00:21:46.718000
XRPUSDT,1598238382.0,1.3627,44.7,,,False,0.05256728972976594,0.5049669781341966,1.3360170456596583,-0.00017128352086533463,5.594,0.9999999999999977,-0.0716551048178817,0.03477000434589614,2026-03-27 00:21:52.312000
XRPUSDT,1598238383.0,1.3627,610.0,,,False,0.06322140969665581,0.5055878015761154,1.4300182567764854,-0.00022244060430561972,0.057,0.9999999999999836,-0.08240198418115446,0.03973714431456932,2026-03-27 00:21:52.369000
XRPUSDT,1598238384.0,1.3627,81.2,,,False,0.07450714148833172,0.5062086077870784,1.5186258279946823,-0.0002802665632565212,4.904,0.9999999999999843,-0.09314655351336824,0.04470430031527991,2026-03-27 00:21:57.273000
XRPUSDT,1598238385.0,1.3627,20.7,,,False,0.08639118641218538,0.5068293948532829,1.6027352835058475,-0.00034476195673399657,1.487,0.9999999999999615,-0.10389294008942748,0.049671445184015305,2026-03-27 00:21:58.760000
XRPUSDT,1598238386.0,1.3626,21.2,,,True,0.09060784659089485,0.5068293948532829,1.6809629480846242,-0.00013456837795210074,0.975,0.9999999999999428,,0.054638588363515324,2026-03-27 00:21:59.735000
XRPUSDT,1598238387.0,1.3626,3.9,,,True,0.10324015399892536,0.5074501608611622,1.7578589358420662,-0.0004415014466295722,3.648,0.9999999999999393,-0.4944424546151199,0.059605745384849036,2026-03-27 00:22:03.383000
XRPUSDT,1598238388.0,1.3626,3.9,,,True,0.11641042658603734,0.5080709038974094,1.83187571656061,-0.0005215530596168863,3.648,0.9999999999999167,-0.12896095213775585,0.06457290501079298,2026-03-27 00:22:03.383000
XRPUSDT,1598238389.0,1.3626,3.9,,,True,0.1300975112169277,0.5086916220490008,1.9033497948796585,-0.0006082682657398629,3.648,0.9999999999998834,-0.13970141826956375,0.06954006752287203,2026-03-27 00:22:03.383000
XRPUSDT,1598238390.0,1.3626,7343.6,,,True,0.14428258412547074,0.5093123134032194,1.972558148050733,-0.0007016460004199438,3.648,0.9999999999998384,-0.15044149406210935,0.07450723319273311,2026-03-27 00:22:03.383000
XRPUSDT,1598238391.0,1.3626,3.9,,,True,0.1589487408202818,0.5099329760476791,2.0397319571339763,-0.0008016845336830894,3.648,0.9999999999997803,-0.16118020660036808,0.07947440228521004,2026-03-27 00:22:03.383000
XRPUSDT,1598238392.0,1.3626,3.7,,,True,0.17408069046006064,0.5105536080703473,2.105066521678562,-0.0009083820146492372,3.648,0.9999999999997082,-0.17191746005535835,0.08444157506030273,2026-03-27 00:22:03.383000
XRPUSDT,1598238393.0,1.3626,3.9,,,True,0.18966451433210252,0.5111742075595694,2.1687285770410463,-0.0010217364715870473,3.648,0.9999999999996202,-0.18265315860941927,0.08940875177449488,2026-03-27 00:22:03.383000
XRPUSDT,1598238394.0,1.3626,3.9,,,True,0.20568747211367153,0.5117947726040915,2.230861800158628,-0.0011417458119724294,3.648,0.9999999999995146,-0.1933872064576541,0.09437593268165421,2026-03-27 00:22:03.383000
XRPUSDT,1598238395.0,1.3626,56.9,,,True,0.22213784440526138,0.5124153012930842,2.2915910232495813,-0.001268407822550607,3.648,0.9999999999993902,-0.20411950780837365,0.09934311803366082,2026-03-27 00:22:03.383000
XRPUSDT,1598238396.0,1.3626,3.8,,,True,0.2390048032435167,0.5130357917161668,2.3510255075850064,-0.0014017201694017424,3.648,0.9999999999992445,-0.21484996688401914,0.10431030808085474,2026-03-27 00:22:03.383000
XRPUSDT,1598238397.0,1.3626,434.5,,,True,0.25627830450761985,0.5136562419634296,2.409261521408909,-0.0015416803980100877,3.648,0.999999999999076,-0.2255784879219287,0.10927750307236024,2026-03-27 00:22:03.383000
XRPUSDT,1598238398.0,1.3626,80.9,,,True,0.2739489976771028,0.5142766501254583,2.466384394560363,-0.001688285933336689,3.648,0.9999999999988817,-0.23630497517507346,0.11424470325632392,2026-03-27 00:22:03.383000
XRPUSDT,1598238399.0,1.3626,3.9,,,True,0.29200814950042625,0.5148970142933572,2.5224701739694035,-0.0018415340798956241,3.648,0.9999999999986598,-0.2470293329125827,0.11921190888009217,2026-03-27 00:22:03.383000
XRPUSDT,1598238400.0,1.3626,3.7,,,True,0.3104475789326422,0.5155173325587725,2.5775869708219257,-0.0020014220218337736,3.648,0.9999999999984084,-0.2577514654209043,0.12417912019034509,2026-03-27 00:22:03.383000
XRPUSDT,1598238401.0,1.3626,3.9,,,True,0.3292596012889688,0.5161376030139162,2.631796066752812,-0.0021679468230141313,3.648,0.9999999999981246,-0.26847127700413204,0.12914633743319787,2026-03-27 00:22:03.383000
XRPUSDT,1598238402.0,1.3626,5.0,,,False,0.3484369800006641,0.516757823751589,2.6851528297035077,-0.0023411054271026163,0.098,0.9999999999978058,-0.27918867198511266,0.13411345746026684,2026-03-27 00:22:03.481000
XRPUSDT,1598238403.0,1.3625,3.7,,,True,0.3548307996916808,0.516757823751589,2.7344257856482446,-0.0008099860527207578,0.576,0.9999999999975163,,0.13908059371472525,2026-03-27 00:22:04.057000
XRPUSDT,1598238404.0,1.3625,3.9,,,True,0.37448590456608405,0.5173779928652038,2.786166169648335,-0.002581969688357174,0.576,0.9999999999974352,-2.8572587649647256,0.14404773162857298,2026-03-27 00:22:04.057000
XRPUSDT,1598238405.0,1.3625,42.4,,,True,0.39449090457594577,0.5179981084488098,2.8371929025187064,-0.0027705963319088886,0.576,0.9999999999973926,-0.304179815083585,0.1490148717780804,2026-03-27 00:22:04.057000
XRPUSDT,1598238406.0,1.3626,36.6,,,False,0.4286677269746321,0.5192381714055099,2.890996207505513,-0.005065896906333351,1.525,0.9999999999975476,-1.8509548745270472,0.15398205055008654,2026-03-27 00:22:05.582000
XRPUSDT,1598238407.0,1.3626,26.2,,,False,0.44957614255025674,0.5198581149700909,2.9407620390346705,-0.0033062463572609887,0.887,0.9999999999974919,2.8384044122814345,0.15894920828781436,2026-03-27 00:22:06.469000
XRPUSDT,1598238408.0,1.3626,48.7,,,False,0.4708138059375692,0.520477997387684,2.9899189330934313,-0.0035191198175430335,0.627,0.9999999999974606,-0.34340941804515185,0.16391635707318894,2026-03-27 00:22:07.096000
XRPUSDT,1598238409.0,1.3626,3.7,,,False,0.49237571420078213,0.5210978167558671,3.0384967856025455,-0.00373860474060457,1.08,0.9999999999974495,-0.3541111077327495,0.16888352945104712,2026-03-27 00:22:08.176000
XRPUSDT,1598238410.0,1.3626,3.9,,,False,0.5142571543532759,0.5217175711729946,3.086523288483204,-0.003964710105167953,1.08,0.9999999999974197,-0.36483058178329647,0.17385070470608346,2026-03-27 00:22:08.176000
XRPUSDT,1598238411.0,1.3626,3.9,,,False,0.5364534712335036,0.5223372587382193,3.134024097833586,-0.004197405731395554,1.08,0.9999999999973846,-0.37550475317862897,0.17881788287101907,2026-03-27 00:22:08.176000
XRPUSDT,1598238412.0,1.3626,3.9,,,False,0.5589602604599304,0.5229568775515171,3.1810230801036536,-0.004436697108676124,1.08,0.9999999999973441,-0.38619127138346215,0.18378506398273284,2026-03-27 00:22:08.176000
XRPUSDT,1598238413.0,1.3626,3.9,,,False,0.5817732975193923,0.5235764257137091,3.2275424684818987,-0.004682579812650649,1.08,0.9999999999972972,-0.39687423670917443,0.18875224808171176,2026-03-27 00:22:08.176000
XRPUSDT,1598238414.0,1.3626,3.9,,,False,0.6048885258491612,0.524195901326485,3.273603013515227,-0.004935049298640388,1.08,0.9999999999972427,-0.40755355139555016,0.19371943521157994,2026-03-27 00:22:08.176000
XRPUSDT,1598238415.0,1.3626,3.9,,,False,0.6283020459961662,0.524815302492427,3.319224116380075,-0.005194100901781722,1.08,0.9999999999971813,-0.41822911771136007,0.1986866254186985,2026-03-27 00:22:08.176000
XRPUSDT,1598238416.0,1.3626,5000.0,,,False,0.6520101057313535,0.525434627315032,3.3644239471829542,-0.005459729837167947,1.08,0.999999999997112,-0.4289008379624681,0.20365381875182356,2026-03-27 00:22:08.176000
XRPUSDT,1598238417.0,1.3626,3.8,,,False,0.6760090910136264,0.5260538738987357,3.409219550292997,-0.005731931199994526,1.08,0.9999999999970337,-0.4395686144904389,0.20862101526181287,2026-03-27 00:22:08.176000
XRPUSDT,1598238418.0,1.3626,1992.9,,,False,0.70029551771173,0.5266730403489348,3.4536269384001885,-0.006010699965708061,1.08,0.999999999996947,-0.4502323496757477,0.21358821500137337,2026-03-27 00:22:08.176000
XRPUSDT,1598238419.0,1.3626,3.7,,,False,0.7248660240042447,0.5272921247720106,3.4976611767378447,-0.006296030990158742,1.08,0.9999999999968515,-0.46089194593699295,0.21855541802484274,2026-03-27 00:22:08.176000
XRPUSDT,1598238420.0,1.3626,3.9,,,False,0.7497173633878927,0.5279111252753522,3.5413364586960085,-0.006587919009756554,1.08,0.9999999999967474,-0.4715473057325116,0.22352262438799955,2026-03-27 00:22:08.176000
XRPUSDT,1598238421.0,1.3626,3.9,,,False,0.7748463982329505,0.5285300399673791,3.5846661738757897,-0.006886358641630863,1.08,0.9999999999966324,-0.4821983315615571,0.22848983414789945,2026-03-27 00:22:08.176000
XRPUSDT,1598238422.0,1.3626,3.7,,,False,0.8002500938319193,0.5291488669575646,3.627662969486753,-0.007191344383793666,1.08,0.9999999999965087,-0.49284492596453183,0.2334570473627297,2026-03-27 00:22:08.176000
XRPUSDT,1598238423.0,1.3627,3.7,,,False,0.8431321958909626,0.5303862502757101,3.6746249103451647,-0.012661706963487201,0.514,0.9999999999965289,-4.420911854454412,0.238424210502065,2026-03-27 00:22:08.690000
XRPUSDT,1598238424.0,1.3627,3.2,,,False,0.8692546220626234,0.5310048028280914,3.717034828702607,-0.00803575637778924,0.514,0.9999999999964327,7.478670272863623,0.2433913770585798,2026-03-27 00:22:08.690000
XRPUSDT,1598238425.0,1.3627,0.7,,,False,0.8956413582912427,0.5316232601275197,3.7591453667874113,-0.008364666181930772,0.163,0.9999999999963446,-0.5318229802535401,0.24835850756459668,2026-03-27 00:22:08.853000
XRPUSDT,1598238426.0,1.3627,583.0,,,False,0.9222896396531124,0.532241620289081,3.8009666854335187,-0.008700045807211185,0.163,0.9999999999962934,-0.5423693926750377,0.2533256395766424,2026-03-27 00:22:08.853000
XRPUSDT,1598238427.0,1.3627,7.4,,,False,0.9491970534715284,0.5328598814290515,3.842508502096057,-0.009041977496994476,0.163,0.9999999999962593,-0.5530538273836557,0.2582927730499433,2026-03-27 00:22:08.853000
XRPUSDT,1598238428.0,1.3627,3.9,,,False,0.9763611283003524,0.5334780416649223,3.883780024071093,-0.009390413830452643,0.163,0.9999999999962403,-0.5636666890540514,0.2632599079439015,2026-03-27 00:22:08.853000
XRPUSDT,1598238429.0,1.3627,3.9,,,False,1.0037794620838314,0.5340960991154206,3.9247900129751283,-0.009745348351746503,0.163,0.9999999999962328,-0.5742743186862724,0.2682270442217028,2026-03-27 00:22:08.853000
XRPUSDT,1598238430.0,1.3627,3.9,,,False,1.0314497189695717,0.5347140519005332,3.9655468138125665,-0.010106774487051348,0.163,0.9999999999962356,-0.5848766184279672,0.27319418184997285,2026-03-27 00:22:08.853000
XRPUSDT,1598238431.0,1.3627,3.9,,,False,1.0593696263227395,0.5353318981415293,4.006058381660723,-0.01047468554476001,0.163,0.9999999999962463,-0.5954734904845436,0.27816132079846756,2026-03-27 00:22:08.853000
XRPUSDT,1598238432.0,1.3627,3.9,,,False,1.0875369719254262,0.5359496359609827,4.046332306206292,-0.010849074715688495,0.163,0.9999999999962639,-0.6060648371177251,0.28312846103979855,2026-03-27 00:22:08.853000
XRPUSDT,1598238433.0,1.3627,3.8,,,False,1.115949601346687,0.5365672634827946,4.086375834340552,-0.011229935073283282,0.163,0.9999999999962873,-0.6166505606444734,0.288095602549184,2026-03-27 00:22:08.853000
XRPUSDT,1598238434.0,1.3627,3.8,,,False,1.1446054154700946,0.5371847788322167,4.126195890997394,-0.011617259573833763,0.163,0.9999999999963141,-0.6272305634393508,0.2930627453042287,2026-03-27 00:22:08.853000
XRPUSDT,1598238435.0,1.3627,2192.7,,,False,1.1735023681668937,0.5378021801358729,4.165799098398003,-0.012011041056686409,0.163,0.9999999999963449,-0.637804747934158,0.29802988928472196,2026-03-27 00:22:08.853000
XRPUSDT,1598238436.0,1.3627,2807.3,,,False,1.2026384641039118,0.5384194655217829,4.205191793848279,-0.012411272244464186,0.163,0.9999999999963783,-0.648373016619795,0.3029970344724576,2026-03-27 00:22:08.853000
XRPUSDT,1598238437.0,1.3627,3.6,,,False,1.2320117566763564,0.5390366331193833,4.244380046219535,-0.012817945743287873,0.163,0.9999999999964132,-0.6589352720473979,0.30796418085107274,2026-03-27 00:22:08.853000
XRPUSDT,1598238438.0,1.3627,0.1,,,False,1.2616203460564979,0.5396536810595518,4.283369671229377,-0.013231054043002597,0.002,0.99999999999645,-0.6694914168288577,0.3129313004118288,2026-03-27 00:22:08.855000
XRPUSDT,1598238439.0,1.3627,3.9,,,False,1.29146226537379,0.5402706074746281,4.3221662178150675,-0.013650537707894869,0.002,0.9999999999964975,-0.6799573735879213,0.3178984206757042,2026-03-27 00:22:08.855000
XRPUSDT,1598238440.0,1.3627,3.9,,,False,1.3215358112758375,0.5408874104984372,4.360775063867115,-0.01407648850802479,0.002,0.9999999999965503,-0.6905783267717911,0.32286554161076236,2026-03-27 00:22:08.855000
XRPUSDT,1598238441.0,1.3627,3.9,,,False,1.3518392134939847,0.5415040882663112,4.399201346813385,-0.014508850690311405,0.002,0.9999999999966062,-0.7011152417204668,0.32783266318701143,2026-03-27 00:22:08.855000
XRPUSDT,1598238442.0,1.3627,3.8,,,False,1.3823707417359257,0.5421206389151124,4.437450001997043,-0.014947616276010853,0.002,0.9999999999966652,-0.7116456475272356,0.33279978537625615,2026-03-27 00:22:08.855000
XRPUSDT,1598238443.0,1.3627,3.9,,,False,1.4131287042035097,0.5427370605832544,4.475525773335161,-0.01539277717120608,0.002,0.9999999999967262,-0.722169446990732,0.33776690815196797,2026-03-27 00:22:08.855000
XRPUSDT,1598238444.0,1.3627,5.0,,,True,1.4441114461863551,0.5433533514107255,4.513433223269077,-0.015844325167055136,0.347,0.9999999999967889,-0.7326865429783852,0.34273410345982014,2026-03-27 00:22:09.202000
XRPUSDT,1598238445.0,1.3628,36.7,,,False,1.4960966936229512,0.5445855331116114,4.556330839432666,-0.02734485572776482,1.604,0.9999999999969286,-9.333469692368524,0.34770157517634354,2026-03-27 00:22:10.806000
XRPUSDT,1598238446.0,1.3627,34.8,,,True,1.506746595816671,0.5445855331116114,4.588760995103977,-0.00572131360151287,4.141,0.9999999999967928,,0.35266962053701045,2026-03-27 00:22:14.947000
