side,entry,exit,pnl,pnl_pct,entry_transition,close_reason
LONG,2.2693,2.2693,0.0,0.0,neutral→bull,neutral→bear
SHORT,2.2693,2.2694,-0.00010000000000021103,-0.004406645221002558,neutral→bear,neutral→bull
LONG,2.2694,2.2693,-0.00010000000000021103,-0.004406451044338196,neutral→bull,neutral→bear
SHORT,2.2693,2.2694,-0.00010000000000021103,-0.004406645221002558,neutral→bear,neutral→bull
LONG,2.2694,2.2693,-0.00010000000000021103,-0.004406451044338196,neutral→bull,neutral→bear
SHORT,2.2693,2.2691,0.00019999999999997797,0.008813290441985545,neutral→bear,neutral→bull
LONG,2.2691,2.269,-9.999999999976694e-05,-0.004407033625656293,neutral→bull,neutral→bear
SHORT,2.269,2.2689,0.00010000000000021103,0.004407227853689336,neutral→bear,neutral→bull
LONG,2.2689,2.2685,-0.00039999999999995595,-0.017629688395255673,neutral→bull,neutral→bear
SHORT,2.2685,2.2686,-0.00010000000000021103,-0.00440819925061543,neutral→bear,neutral→bull
LONG,2.2686,2.2685,-0.00010000000000021103,-0.004408004936974831,neutral→bull,neutral→bear
SHORT,2.2685,2.2687,-0.00019999999999997797,-0.008816398501211284,neutral→bear,neutral→bull
LONG,2.2687,2.2682,-0.0004999999999997229,-0.022039053202262217,neutral→bull,neutral→bear
SHORT,2.2682,2.2683,-9.999999999976694e-05,-0.004408782294320031,neutral→bear,neutral→bull
LONG,2.2683,2.2678,-0.000500000000000167,-0.02204293964643861,neutral→bull,neutral→bear
SHORT,2.2678,2.2679,-0.00010000000000021103,-0.0044095599259286996,neutral→bear,neutral→bull
LONG,2.2679,2.2678,-0.00010000000000021103,-0.004409365492314962,neutral→bull,neutral→bear
SHORT,2.2678,2.2676,0.00019999999999997797,0.008819119851837816,neutral→bear,neutral→bull
LONG,2.2676,2.2677,0.00010000000000021103,0.004409948844602709,neutral→bull,bear→neutral
LONG,2.2678,2.2681,0.000300000000000189,0.013228679777766515,neutral→bull,neutral→bear
SHORT,2.2681,2.2682,-0.00010000000000021103,-0.004408976676522685,neutral→bear,neutral→bull
LONG,2.2682,2.2681,-0.00010000000000021103,-0.004408782294339609,neutral→bull,neutral→bear
SHORT,2.2681,2.2684,-0.000300000000000189,-0.013226930029548476,neutral→bear,neutral→bull
LONG,2.2684,2.2694,0.0009999999999998899,0.0440839358137846,neutral→bull,neutral→bear
SHORT,2.2694,2.2693,0.00010000000000021103,0.004406451044338196,neutral→bear,neutral→bull
LONG,2.2693,2.2694,0.00010000000000021103,0.004406645221002558,neutral→bull,neutral→bear
SHORT,2.2694,2.2695,-9.999999999976694e-05,-0.004406451044318628,neutral→bear,neutral→bull
LONG,2.2695,2.2698,0.000300000000000189,0.013218770654337474,neutral→bull,neutral→bear
SHORT,2.2698,2.2694,0.00039999999999995595,0.01762269803506723,neutral→bear,neutral→bull
LONG,2.2694,2.2691,-0.000300000000000189,-0.013219353132995021,neutral→bull,neutral→bear
SHORT,2.2691,2.2691,0.0,0.0,neutral→bear,neutral→bull
LONG,2.2691,2.2692,0.00010000000000021103,0.004407033625675864,neutral→bull,neutral→bear
SHORT,2.2692,2.2696,-0.00039999999999995595,-0.01762735765908496,neutral→bear,neutral→bull
LONG,2.2696,2.2698,0.00019999999999997797,0.008812125484665931,neutral→bull,neutral→bear
SHORT,2.2698,2.2709,-0.001100000000000101,-0.048462419596444664,neutral→bear,neutral→bull
LONG,2.2709,2.2708,-0.00010000000000021103,-0.0044035404465282936,neutral→bull,neutral→bear
SHORT,2.2708,2.2709,-0.00010000000000021103,-0.004403734366752291,neutral→bear,neutral→bull
LONG,2.2709,2.2708,-0.00010000000000021103,-0.0044035404465282936,neutral→bull,neutral→bear
SHORT,2.2708,2.2709,-0.00010000000000021103,-0.004403734366752291,neutral→bear,neutral→bull
LONG,2.2709,2.2714,0.0004999999999997229,0.0220177022325828,neutral→bull,neutral→bear
SHORT,2.2714,2.2713,9.999999999976694e-05,0.00440257110151303,neutral→bear,neutral→bull
LONG,2.2713,2.2712,-0.00010000000000021103,-0.004402764936389338,neutral→bull,neutral→bear
SHORT,2.2712,2.2717,-0.000500000000000167,-0.02201479394153606,neutral→bear,neutral→bull
LONG,2.2717,2.2718,9.999999999976694e-05,0.0044019896993338446,neutral→bull,neutral→bear
SHORT,2.2718,2.2717,9.999999999976694e-05,0.004401795932730299,neutral→bear,neutral→bull
LONG,2.2717,2.2717,0.0,0.0,neutral→bull,neutral→bear
SHORT,2.2717,2.2718,-9.999999999976694e-05,-0.0044019896993338446,neutral→bear,neutral→bull
LONG,2.2718,2.2718,0.0,0.0,neutral→bull,neutral→bear
SHORT,2.2718,2.2717,9.999999999976694e-05,0.004401795932730299,neutral→bear,neutral→bull
LONG,2.2717,2.2716,-0.00010000000000021103,-0.004401989699353392,neutral→bull,neutral→bear
SHORT,2.2716,2.2717,-0.00010000000000021103,-0.004402183483016862,neutral→bear,neutral→bull
LONG,2.2717,2.2717,0.0,0.0,neutral→bull,bear→neutral
SHORT,2.2716,2.2709,0.0006999999999997009,0.030815284381039837,neutral→bear,neutral→bull
LONG,2.2709,2.2716,0.0006999999999997009,0.030824783125619835,neutral→bull,neutral→bear
SHORT,2.2716,2.2711,0.0004999999999997229,0.02201091741502566,neutral→bear,neutral→bull
LONG,2.2711,2.2695,-0.0016000000000002679,-0.07045044251685385,neutral→bull,neutral→bear
SHORT,2.2695,2.2694,9.999999999976694e-05,0.0044062568847661136,neutral→bear,neutral→bull
LONG,2.2694,2.2693,-0.00010000000000021103,-0.004406451044338196,neutral→bull,neutral→bear
SHORT,2.2693,2.2693,0.0,0.0,neutral→bear,neutral→bull
LONG,2.2693,2.2688,-0.0004999999999997229,-0.02203322610495408,neutral→bull,force
